Asset,Source,Source_Field,Source_Field_Interpretation,Transformation,Python_Implementation,Forecasting_Variable,Forecasting_Timing,Observations,Start_Date,End_Date,Calendar_Gaps,Weekend_Observations,Missing_Raw_Volume,Negative_Raw_Volume,Zero_Raw_Volume,Raw_Volume_Skewness,Log_Volume_Skewness,Transformation_Max_Abs_Difference,Transformation_Pass,Processed_Lag_Max_Abs_Difference,Processed_Lag_Pass,Date_Based_Lag_Pass,Processed_Weekend_Pass,Processed_to_Final_Pass,Final_Timing_Pass,Final_Weekend_Pass
BTC,Yahoo Finance via yfinance,Volume,Daily trading-volume field reported for the downloaded Yahoo Finance cryptocurrency series,ln(1 + Volume),numpy.log1p(Volume),Lagged_Log_BTC_Volume,Previous calendar day (t-1),1826,2021-01-01,2025-12-31,0,522,0,0,0,2.60184639070361,-0.10778662830823374,1.8757617681330885e-10,True,1.8757617681330885e-10,True,True,True,True,True,True
ETH,Yahoo Finance via yfinance,Volume,Daily trading-volume field reported for the downloaded Yahoo Finance cryptocurrency series,ln(1 + Volume),numpy.log1p(Volume),Lagged_Log_ETH_Volume,Previous calendar day (t-1),1826,2021-01-01,2025-12-31,0,522,0,0,0,1.488343878791277,-0.2617276460723839,4.803943909337249e-10,True,4.803943909337249e-10,True,True,True,True,True,True
