Asset,Variable,N,Mean,Std_Dev,Min,Q1,Median,Q3,Max,Skewness
BTC,Raw_Volume,1826,37175594200.616104,23050775915.020092,5331172801.0,21332792720.5,31827739791.0,47204061332.75,350967941479.0,2.60184639070361
BTC,Log1p_Volume,1826,24.172747284979366,0.5829434140109909,22.396837088818064,23.78351126916684,24.183603883755172,24.57774573016195,26.583960721426184,-0.10778662830823374
BTC,Lagged_Log1p_Volume,1825,24.17270790264485,0.5831007604183681,22.396837088818064,23.783393035781707,24.182998524170124,24.577910826823917,26.583960721426184,-0.10755669251563603
ETH,Raw_Volume,1826,19538622098.82092,12948300724.460567,2081625742.0,10252215394.75,16442752040.5,25032695998.5,97736621123.0,1.488343878791277
ETH,Log1p_Volume,1826,23.484916485714844,0.6707752072839179,21.45641503257533,23.050759655124324,23.523150486653677,23.943448561052328,25.30554215814789,-0.2617276460723839
ETH,Lagged_Log1p_Volume,1825,23.484895231039534,0.6709584418050732,21.45641503257533,23.050747457446086,23.522650428441732,23.94368839197056,25.30554215814789,-0.26156177437904754
