Asset,Baseline_R2,Cross_Crypto_R2,Change_in_R2,Baseline_Adjusted_R2,Cross_Crypto_Adjusted_R2,Change_in_Adjusted_R2
BTC,0.017841856951510415,0.019743445913117386,0.0019015889616069703,0.012279472646219647,0.013393605886643511,0.0011141332404238646
ETH,0.003869018652661871,0.003943107598363693,7.408894570182234e-05,-0.0017724998501142952,-0.002509082797760298,-0.0007365829476460029
