Model,N,R_squared,Adjusted_R_squared,AIC,BIC
BTC_Baseline,1244,0.017841856951510415,0.012279472646219647,-4774.849172590494,-4733.840474404101
BTC_Cross_Crypto,1244,0.019743445913117386,0.013393605886643511,-4775.260056907752,-4729.12527144806
ETH_Baseline,1244,0.003869018652661871,-0.0017724998501142952,-4193.145070722264,-4152.136372535871
ETH_Cross_Crypto,1244,0.003943107598363693,-0.002509082797760298,-4191.237598791238,-4145.102813331546
