Asset,N_Forecasts,Forecast_Start,Forecast_End,Baseline_RMSE,Historical_Mean_RMSE,RMSE_Improvement,RMSE_Improvement_Percent,Baseline_MAE,Historical_Mean_MAE,OOS_R2,Directional_Accuracy
BTC,498,2024-01-02,2025-12-31,0.027704542466655685,0.02756453694101842,-0.00014000552563726495,-0.5079190190527909,0.021918984922886,0.02166879582035661,-0.010184178554047518,0.4939759036144578
ETH,498,2024-01-02,2025-12-31,0.0402401048813017,0.039952042723017236,-0.0002880621582844606,-0.7210198494268774,0.029972416583505395,0.02985274942596556,-0.014472383950864032,0.4959839357429719
