Date,Actual_Return,Baseline_Forecast,Historical_Mean_Forecast,Baseline_Error,Historical_Mean_Error,Training_Observations
2024-01-02,0.0338522639689997,-0.0033474179112586164,0.000681737273349891,0.037199681880258316,0.03317052669564981,746
2024-01-03,-0.0495283949100311,-0.008329752316119288,0.0007261422622329562,-0.041198642593911816,-0.05025453717226406,747
2024-01-04,0.0353450262550083,0.006505568742401705,0.0006589570521096087,0.028839457512606595,0.03468606920289869,748
2024-01-05,-0.011940796433948,-0.00706848957496301,0.0007052668908317696,-0.004872306858984991,-0.01264606332477977,749
2024-01-08,0.0625227533679936,-0.0007682613955217457,0.0006884054730653965,0.06329101476351534,0.0618343478949282,750
2024-01-09,-0.0365736275970131,-0.008241085432545023,0.0007707414889041827,-0.02833254216446808,-0.03734436908591728,751
2024-01-10,0.0117857627732164,0.004712294173518563,0.0007210814236303562,0.007073468599697838,0.011064681349586044,752
2024-01-11,0.0042879617582345,-0.0033089101676198915,0.0007357755555687176,0.007596871925854391,0.0035521862026657827,753
2024-01-12,-0.0611173108158078,0.0010191758239716687,0.0007404866778534203,-0.06213648663977946,-0.061857797493661215,754
2024-01-16,0.0173378165053253,0.0019510300179401672,0.0006585558202459219,0.015386786487385134,0.01667926068507938,755
2024-01-17,-0.0184629924327535,-0.006594011840404305,0.0006806183343796248,-0.011868980592349195,-0.019143610767133126,756
2024-01-18,-0.0374453878278541,0.0022400716746044077,0.0006553295486898848,-0.03968545950245851,-0.03810071737654398,757
2024-01-19,0.0126903260598785,0.005905922847432446,0.0006050647500400905,0.006784403212446053,0.01208526130983841,758
2024-01-22,-0.0477340635951292,0.00449293627163617,0.000620987360461485,-0.05222699986676537,-0.04835505095559069,759
2024-01-23,-0.0157848381598462,0.008421274522807108,0.0005573622934146551,-0.02420611268265331,-0.016342200453260857,760
2024-01-24,0.0146539006178425,0.0021310669617092275,0.0005358876541856658,0.012522833656133273,0.014118012963656834,761
2024-01-25,0.0033764521624908,-0.002548140839529283,0.0005544152302534569,0.005924593002020083,0.0028220369322373433,762
2024-01-26,0.0511836447493628,0.0020367188310001427,0.0005581138369798492,0.04914692591836266,0.05062553091238295,763
2024-01-29,0.0284577539356695,0.002635528202942625,0.0006243776208965807,0.025822225732726873,0.02783337631477292,764
2024-01-30,0.008463291914936,-0.0004222868119662783,0.0006607611193472645,0.008885578726902278,0.007802530795588735,765
2024-01-31,-0.0253203398529352,0.001382559824800532,0.0006709471908819756,-0.02670289967773573,-0.025991287043817174,766
2024-02-01,0.0151101750276914,0.007494072699680053,0.0006370602455836481,0.007616102328011347,0.014473114782107752,767
2024-02-02,-0.0030709345087918,0.0037309982836617045,0.000655905447122851,-0.006801932792453504,-0.003726839955914651,768
2024-02-05,-0.0099771060049352,-0.00316568399384151,0.0006510591012764081,-0.0068114220110936895,-0.010628165106211607,769
2024-02-06,0.0191957994384833,-0.001716968951164329,0.0006372562894501593,0.020912768389647632,0.018558543149033144,770
2024-02-07,0.0237601326122443,0.0030860878486402275,0.0006613270328341193,0.02067404476360407,0.02309880557941018,771
2024-02-08,0.0254506904489161,-0.0017064673478865205,0.0006912477654499356,0.02715715779680262,0.024759442683466165,772
2024-02-09,0.0477527202298084,-0.004725768334795891,0.0007232780923366965,0.05247848856460429,0.047029442137471705,773
2024-02-12,0.0353261638907621,0.0004264991283772189,0.0007840396454858847,0.034899664762384874,0.03454212424527621,774
2024-02-13,-0.0056006054205141,-0.005663599345921323,0.0008286101283830154,6.299392540722298e-05,-0.0064292155488971155,775
2024-02-14,0.0436132410837892,-0.005944649783063402,0.0008203250567993851,0.049557890866852604,0.04279291602698981,776
2024-02-15,-0.0078045487792248,-0.004140365993102888,0.0008753995948006589,-0.0036641827861219117,-0.008679948374025458,777
2024-02-16,0.0123332365534209,0.0027886649264583794,0.0008642428488186212,0.009544571626962522,0.01146899370460228,778
2024-02-20,0.0025305841161619,9.277179388633293e-05,0.0008789655621749783,0.0024378123222755675,0.001651618553986922,779
2024-02-21,-0.0123095793303188,0.0013850792892572963,0.000881083021859577,-0.013694658619576095,-0.013190662352178376,780
2024-02-22,0.0048252652384898,0.001106931330038372,0.0008641935694240092,0.0037183339084514285,0.0039610716690657915,781
2024-02-23,-0.0127467295829595,0.00023713975785454315,0.0008692588784637353,-0.012983869340814044,-0.013615988461423235,782
2024-02-26,0.054477868421388,0.00561185149277631,0.0008518693657416111,0.048866016928611686,0.05362599905564639,783
2024-02-27,0.0370866690709048,-0.00803413126376556,0.0009202698747411601,0.045120800334670357,0.036166399196163636,784
2024-02-28,0.0653611164555198,-0.006501607997643793,0.0009663417208509225,0.07186272445316359,0.06439477473466888,785
2024-02-29,0.0144659832331768,-0.010223323061069094,0.0010482689151698399,0.024689306294245893,0.013417714318006962,786
2024-03-01,0.0186672665495534,-0.002157553976146978,0.0010653181074417673,0.02082482052570038,0.017601948442111635,787
2024-03-04,0.0713198625460871,0.002848929550642278,0.0010876556054647516,0.06847093299544482,0.07023220694062235,788
2024-03-05,-0.0639026739485315,-0.010714743433265256,0.0011766698094452614,-0.05318793051526624,-0.06507934375797676,789
2024-03-06,0.0485709262478393,0.009355754027089951,0.0010942908932959237,0.03921517222074935,0.04747663535454338,790
2024-03-07,0.0130996287460495,-0.00676221200530591,0.0011543119240854855,0.01986184075135541,0.011945316821964015,791
2024-03-08,0.0158720046586772,-0.000997796084007166,0.0011693943948202887,0.016869800742684366,0.014702610263856913,792
2024-03-11,0.0384551390662724,-0.00019330098462642345,0.0011879348869563,0.03864844005089882,0.037267204179316095,793
2024-03-12,-0.0151119845397079,-0.00678682352232426,0.0012348709123710558,-0.00832516101738364,-0.016346855452078955,794
2024-03-13,0.0289650139705572,-0.0009383763732714655,0.0012143088300413966,0.029903390343828665,0.0277507051405158,795
2024-03-14,-0.0344861760711693,-0.004135461949999514,0.0012491715249415424,-0.030350714121169787,-0.03573534759611084,796
2024-03-15,-0.0406201072419309,-0.00023185093545153874,0.0012043342004796715,-0.04038825630647936,-0.04182444144241057,797
2024-03-18,-0.0130368983299158,-0.0030097866044601768,0.001151922619724771,-0.010027111725455623,-0.01418882094964057,798
