Date,Actual_Return,Baseline_Forecast,Historical_Mean_Forecast,Baseline_Error,Historical_Mean_Error,Training_Observations
2024-01-02,0.0125389495095303,-0.0025803995068775323,0.0003167868221350546,0.015119349016407832,0.012222162687395247,746
2024-01-03,-0.0608662083679716,-0.0013142504138270302,0.00033314848570586487,-0.05955195795414457,-0.061199356853677465,747
2024-01-04,0.021428360404804,0.0059401686210273094,0.0002513311637089698,0.015488191783776691,0.02117702924109503,748
2024-01-05,-0.0123791315114931,-0.003663817057349246,0.0002796049010135026,-0.008715314454143853,-0.012658736412506602,749
2024-01-08,0.042860740297264,-0.0012633465536239653,0.00026272658579682713,0.044124086850887964,0.042598013711467174,750
2024-01-09,-0.009103463761962,-0.0034022507263353676,0.00031944830844858103,-0.005701213035626632,-0.00942291207041058,751
2024-01-10,0.0868154442999705,0.0022506807251641576,0.0003069178402698436,0.08456476357480634,0.08650852645970065,752
2024-01-11,0.0293654497086816,-0.006903495886965016,0.0004218030015709068,0.03626894559564662,0.028943646707110693,753
2024-01-12,-0.0310160429312558,0.0016427654592853515,0.0004601898009172076,-0.03265880839054115,-0.03147623273217301,754
2024-01-16,0.0326778382677836,0.0009830935415502068,0.00041849942643750826,0.0316947447262334,0.032259338841346095,755
2024-01-17,-0.0313496983601835,-0.0047446666265606105,0.00046117050956098174,-0.026605031733622893,-0.031810868869744484,756
2024-01-18,-0.0281663490167934,0.00019498556807303735,0.00041914822571719775,-0.02836133458486644,-0.028585497242510596,757
2024-01-19,0.0133181477508721,0.0012629212972634285,0.00038143648793024447,0.01205522645360867,0.012936711262941856,758
2024-01-22,-0.0614152350583283,-0.001420186381163229,0.0003984809032964393,-0.05999504867716507,-0.061813715961624736,759
2024-01-23,-0.0545607931933054,0.005761213015711565,0.0003171470665048276,-0.06032200620901697,-0.05487794025981023,760
2024-01-24,0.0066552219565532,0.004260985272479933,0.0002450341358086249,0.002394236684073267,0.006410187820744575,761
2024-01-25,0.0009020590107201,-0.003995171482873263,0.00025344645578335534,0.004897230493593363,0.0006486125549367447,762
2024-01-26,0.0183372531811751,0.0007982282488922293,0.00025429653776885575,0.017539024932282873,0.018082956643406246,763
2024-01-29,0.0190844651535438,7.022924741537438e-05,0.0002779653291869267,0.019014235906128427,0.018806499824356875,764
2024-01-30,0.0314749718523305,0.0002344779489722965,0.0003025489890880468,0.031240493903358205,0.031172422863242455,765
2024-01-31,-0.0440183558825222,-0.0004728960286704391,0.00034324405810011265,-0.04354545985385176,-0.04436159994062232,766
2024-02-01,0.0112852493739947,0.007008182196434369,0.000285406248529549,0.004277067177560332,0.010999843125465151,767
2024-02-02,-0.0036227117730479,0.002322639346707101,0.0002997289609324987,-0.005945351119755001,-0.003922440733980398,768
2024-02-05,-0.00541557709546,-0.006632839025547736,0.0002946282577673746,0.0012172619300877367,-0.005710205353227374,769
2024-02-06,0.0400119357510752,-0.0031873783474445127,0.00028721240665928715,0.043199314098519716,0.039724723344415916,770
2024-02-07,0.020613200441266,0.001083084569679149,0.0003387360426442624,0.019530115871586852,0.02027446439862174,771
2024-02-08,-0.001659724076131,-0.0023061699227714116,0.0003649983022279693,0.0006464458466404117,-0.0020247223783589692,772
2024-02-09,0.0317441900401254,-0.0015851448199357507,0.0003623789977281518,0.03332933486006115,0.03138181104239725,773
2024-02-12,0.0498296564131574,-0.0020107561855703094,0.000402923973235125,0.05184041259872771,0.04942673243992227,774
2024-02-13,0.0003000545058223,-0.004153244443940894,0.0004667004021898634,0.004453298949763194,-0.0001666458963675634,775
2024-02-14,0.054393960372012,-0.004357478169537066,0.0004664856523234102,0.05875143854154907,0.05392747471968859,776
2024-02-15,0.0058452436383763,-0.0007886695023350881,0.0005358903816923787,0.006633913140711388,0.005309353256683921,777
2024-02-16,-0.0020652401067546,0.0007996026914977403,0.000542714743204826,-0.0028648427982523404,-0.0026079548499594258,778
2024-02-20,0.0069674993306654,-0.0034452328839471563,0.0005393669192639282,0.010412732214612556,0.0064281324114014715,779
2024-02-21,-0.0205100549779497,0.0014551280296803693,0.0005476081146631609,-0.02196518300763007,-0.021057663092612863,780
2024-02-22,0.0192879600214251,0.0001209989649445652,0.0005206456779248602,0.019166961056480535,0.018767314343500242,781
2024-02-23,-0.0143850958803536,-0.0029710697904200647,0.0005446448011262672,-0.011414026089933535,-0.014929740681479866,782
2024-02-26,0.0244317518071533,0.0024253236519392123,0.0005255774439340833,0.02200642815521409,0.023906174363219217,783
2024-02-27,0.0197493930298543,-0.0011579593734102802,0.0005560700132749242,0.02090735240326458,0.019193323016579375,784
2024-02-28,0.0225911503734165,-0.000723672320459467,0.000580520106289675,0.023314822693875966,0.022010630267126824,785
2024-02-29,0.007896059304081,0.0011979974441326483,0.0006085234526855107,0.006698061859948352,0.00728753585139549,786
2024-03-01,0.0234228997296185,0.0021653379268072115,0.0006177833457622521,0.02125756180281129,0.02280511638385625,787
2024-03-04,0.0303491091535642,0.0015135654772762653,0.0006467238487874505,0.028835543676287934,0.029702385304776747,788
2024-03-05,-0.0175820667648293,-0.0008073920311624465,0.0006843694575387517,-0.016774674733666853,-0.01826643622236805,789
2024-03-06,0.088797724668171,0.006383996854013353,0.0006612473863711972,0.08241372781415765,0.0881364772817998,790
2024-03-07,0.0062518405745819,-0.004290247952381613,0.0007726715043001477,0.010542088526963513,0.0054791690702817525,791
2024-03-08,0.0107549998409559,-0.0010094659386397273,0.0007795896470656549,0.011764465779595628,0.009975410193890245,792
