,BTC_Return,ETH_Return,BTC_Lagged_Return,ETH_Lagged_Return
BTC_Return,1.0,0.7637900056550003,-0.11406373376553278,-0.055648135843407866
ETH_Return,0.7637900056550003,1.0,-0.04648796500392397,-0.04937477247160237
BTC_Lagged_Return,-0.11406373376553278,-0.04648796500392397,1.0,0.7638080582077149
ETH_Lagged_Return,-0.055648135843407866,-0.04937477247160237,0.7638080582077149,1.0
