Sample,Variable,N,Mean,Std_Dev,Min,P25,Median,P75,Max,Skewness,Kurtosis
Initial_Estimation,BTC_Return,1094,0.00034131560117093564,0.03806524037091812,-0.370328563333529,-0.012571727947983375,0.0003435677930159,0.0156131615608531,0.3653253511892223,-0.2642807544824506,18.138187388666505
Initial_Estimation,ETH_Return,1094,0.0010418634783287118,0.04544426299669503,-0.2787636473505414,-0.016643265679695825,0.0013345405498687499,0.020688207678852075,0.3236673188485697,-0.04666448772159642,8.891696508440122
Initial_Estimation,BTC_Lagged_Return,1093,0.00033719460369072704,0.03808242136805659,-0.370328563333529,-0.0125847203389174,0.0003377583751124,0.0156207465210544,0.3653253511892223,-0.2638416383724879,18.119365802028003
Initial_Estimation,ETH_Lagged_Return,1093,0.0010505823363921583,0.04546415060637784,-0.2787636473505414,-0.016651566365533,0.0013669975824391,0.0207123639669332,0.3236673188485697,-0.04721396037029025,8.881853235537232
Initial_Estimation,Lagged_Log_BTC_Volume,1094,24.02343374286241,0.5666251232182911,22.396837088630488,23.64926464542067,24.05014859915802,24.375276027287,26.583960721423335,-0.05829007876334687,0.12839003650397673
Initial_Estimation,Lagged_Log_ETH_Volume,1094,23.318935597770675,0.6877431540652759,21.456415032094935,22.82751286833685,23.408527987427707,23.804192570223062,25.159815135192556,-0.2069097894797729,-0.4419643417775885
Initial_Estimation,Lagged_SP500_Return,751,0.00034172124894183553,0.011097029498359121,-0.044199110119582,-0.0059106160797126,0.000415745716966,0.0069313427179088,0.0539525042809639,-0.2079271267021871,1.6596116046916638
Initial_Estimation,Lagged_VIX_Change,763,-0.019003931847968544,1.6662854326402607,-7.0,-0.870000000000001,-0.1600000000000001,0.6950000000000021,14.19,1.4627647492195934,10.214741966088443
Initial_Estimation,Lagged_Gold_Return,751,8.564999617653725e-05,0.009148524104366342,-0.0471834688953602,-0.00445343586768635,0.0003256091489701,0.0051201411938504495,0.0310701183883798,-0.32855822967065845,2.0163019256482766
Initial_Estimation,Lagged_DXY_Return,775,0.00015261400238900303,0.004567291602088391,-0.0214220438418628,-0.0023506408126439003,0.0001703124172514,0.00283334686194735,0.016380156478666,-0.3586441962207625,1.5787506874420645
Initial_Estimation,Lagged_US10Y_Change,748,0.0038903743315508,0.0671027804703176,-0.3000000000000002,-0.04,0.0099999999999997,0.0499999999999998,0.2800000000000002,-0.2586995396857082,0.9644415895260883
Out_of_Sample,BTC_Return,731,0.000990693370342401,0.024703398060449498,-0.100254070603198,-0.01231385114518015,0.0012381105478186,0.01405730333110745,0.0966771330050784,0.09543463772422599,1.4332051508650365
Out_of_Sample,ETH_Return,731,0.00036454915048141664,0.03651031507371622,-0.1802001654952988,-0.01831044673008455,0.0009020590107201,0.0199470150140336,0.1945206491913532,0.06794826500007232,2.789195760521561
Out_of_Sample,BTC_Lagged_Return,731,0.0010052649762301656,0.02470252483606733,-0.100254070603198,-0.01231385114518015,0.0012923885908271,0.01405730333110745,0.0966771330050784,0.09370408855367408,1.4336022658456646
Out_of_Sample,ETH_Lagged_Return,731,0.00034705110395852074,0.036511489952031614,-0.1802001654952988,-0.01831044673008455,0.0007766016464099,0.0199470150140336,0.1945206491913532,0.06936209134280392,2.788585951658941
Out_of_Sample,Lagged_Log_BTC_Volume,731,24.396108628681922,0.5342884732532938,22.958004933612127,24.039204109941267,24.42772115689806,24.780460531806256,25.925878252483724,-0.1288403199915259,-0.407794065617368
Out_of_Sample,Lagged_Log_ETH_Volume,731,23.733267103338004,0.560006266411602,22.244631145124732,23.33347107656676,23.69270570595626,24.155535142195404,25.30554215813766,0.07895198127375598,-0.49528253896492114
Out_of_Sample,Lagged_SP500_Return,502,0.000728755373880476,0.010018944354185147,-0.0616090736758802,-0.00316729714480685,0.00110296405151735,0.0056457756476806994,0.0908949016487148,0.42848729084069875,17.048470152233502
Out_of_Sample,Lagged_VIX_Change,517,0.0035976789168278554,2.0320297201469506,-18.71,-0.6399999999999988,-0.0899999999999998,0.5600000000000005,15.290000000000004,0.42460960324500313,29.476684466424476
Out_of_Sample,Lagged_Gold_Return,504,0.0014788791050364168,0.011318878278650185,-0.0590620355400498,-0.00416768494209575,0.0022058063109842,0.007959498195356025,0.0343676442916245,-0.746265242541367,2.7676308915635257
Out_of_Sample,Lagged_DXY_Return,518,-5.789994436668321e-05,0.004076483947490491,-0.0199548254666549,-0.0024867125512134753,2.3761927302283583e-05,0.002353486051627475,0.0159707199137208,-0.25277406208422887,2.0534415831789787
Out_of_Sample,Lagged_US10Y_Change,499,0.0006012024048096191,0.05343275696259372,-0.1900000000000004,-0.04,0.0,0.0300000000000002,0.1899999999999995,0.20605331859109227,0.5138927355522012
