Asset,Model,N,R_Squared,Adjusted_R_Squared
BTC,M0_Benchmark,1821,0.013687447403473274,0.009879290829741483
BTC,M1_Activity,1821,0.014784739942195646,0.010435003694699851
BTC,M2_Sentiment,1821,0.013792806703033733,0.009438691059338478
BTC,M3_Both,1821,0.014962169852766216,0.010066896262857394
ETH,M0_Benchmark,1799,0.004155072808621263,0.00026288158006748663
ETH,M1_Activity,1799,0.004157494902502057,-0.0002931978577103145
ETH,M2_Sentiment,1799,0.004329111003301578,-0.00012081475757752536
ETH,M3_Both,1799,0.0043496465580357135,-0.0006592149181954277
