Asset,Comparison,Forecast_Role,Model,N,OOS_Start,OOS_End,RMSE,MAE,OOS_R2,Directional_Accuracy,RMSE_Change_vs_Benchmark_Pct,MAE_Change_vs_Benchmark_Pct
BTC,Activity,Benchmark,M0_Benchmark,731,2024-01-01,2025-12-31,0.02482565314814214,0.018278187962975114,0.0,0.5102599179206566,0.0,0.0
BTC,Activity,Extended,M1_Activity,731,2024-01-01,2025-12-31,0.024887734622533762,0.01833400724052532,-0.005007650557803833,0.4952120383036936,0.2500698532327039,0.30538737025396223
BTC,Sentiment,Benchmark,M0_Benchmark,731,2024-01-01,2025-12-31,0.02482565314814214,0.018278187962975114,0.0,0.5102599179206566,0.0,0.0
BTC,Sentiment,Extended,M2_Sentiment,731,2024-01-01,2025-12-31,0.02484759663245854,0.018296461240755856,-0.0017685884957663323,0.4952120383036936,0.08839036050918292,0.09997313638396843
BTC,Both,Benchmark,M0_Benchmark,731,2024-01-01,2025-12-31,0.02482565314814214,0.018278187962975114,0.0,0.5102599179206566,0.0,0.0
BTC,Both,Extended,M3_Both,731,2024-01-01,2025-12-31,0.02490631970065605,0.01834762993477699,-0.006509203029015476,0.4842681258549932,0.32493224662628606,0.37991715558751693
ETH,Activity,Benchmark,M0_Benchmark,731,2024-01-01,2025-12-31,0.036735979535602384,0.026279570818191565,0.0,0.5020519835841313,0.0,0.0
ETH,Activity,Extended,M1_Activity,731,2024-01-01,2025-12-31,0.03677179228139937,0.02630228892786396,-0.0019506871795513803,0.49794801641586867,0.09748684055714829,0.0864477956263654
ETH,Sentiment,Benchmark,M0_Benchmark,719,2024-01-01,2025-12-31,0.03694678296083916,0.02643328718168828,0.0,0.49235048678720444,0.0,0.0
ETH,Sentiment,Extended,M2_Sentiment,719,2024-01-01,2025-12-31,0.03700022137786745,0.026513782708674008,-0.0028948156449015716,0.5173852573018081,0.14463618411630907,0.30452333238937257
ETH,Both,Benchmark,M0_Benchmark,719,2024-01-01,2025-12-31,0.03694678296083916,0.02643328718168828,0.0,0.49235048678720444,0.0,0.0
ETH,Both,Extended,M3_Both,719,2024-01-01,2025-12-31,0.037035949315663716,0.02652757587614464,-0.004832569630724093,0.5187760778859527,0.24133726316324378,0.35670438492296785
