Asset,Year,Comparison,N,OOS_Start,OOS_End,Weekend_N,Benchmark_RMSE,Extended_RMSE,Benchmark_MAE,Extended_MAE,OOS_R2_vs_Benchmark,Benchmark_Directional_Accuracy,Extended_Directional_Accuracy,Clark_West_Z,Clark_West_One_Sided_P,DM_Z,DM_Two_Sided_P,Extended_Lower_RMSE
BTC,2024,Sentiment_2024,366,2024-01-01,2024-12-31,104,0.02708082894128852,0.02710659729232489,0.020041178463519247,0.020068938053587657,-0.0019039750100400266,0.5191256830601093,0.4972677595628415,-1.1009889751357298,0.8645492722560684,-1.306311726615982,0.19144657086761507,False
BTC,2025,Sentiment_2025,365,2025-01-01,2025-12-31,104,0.022336832917947264,0.02235434976274695,0.01651036735147059,0.016519128327066982,-0.001569041890289835,0.5013698630136987,0.4931506849315068,-0.8241710494885534,0.7950788128737927,-0.9710495689269115,0.3315235952446204,False
ETH,2024,Sentiment_2024,354,2024-01-01,2024-12-31,100,0.032728666745848504,0.032812733766379325,0.02365712209412698,0.023801327546230978,-0.005143807945101164,0.4830508474576271,0.5056497175141242,-0.593271813845023,0.723500370588803,-1.1615817963300308,0.24540537990798794,False
ETH,2025,Sentiment_2025,365,2025-01-01,2025-12-31,104,0.04062150515265682,0.04065153125724694,0.029125787020035404,0.029144492647043406,-0.0014788817716426816,0.5013698630136987,0.5287671232876713,-0.18330870524473541,0.5727220978334014,-0.4392965593007586,0.6604466669628052,False
