Asset,Comparison,Benchmark_Model,Extended_Model,OOS_N,Weekend_Forecasts,Benchmark_RMSE,Extended_RMSE,RMSE_Improvement_Percent,Benchmark_MAE,Extended_MAE,MAE_Improvement_Percent,OOS_R2_vs_Benchmark,Benchmark_Directional_Accuracy,Extended_Directional_Accuracy,Clark_West_t,Clark_West_One_Sided_p,DM_t,DM_Two_Sided_p,Primary_H3_H4_Comparison
BTC,Activity,M0_Benchmark,M1_Activity,731,208,0.02482565314814214,0.024887734622533762,-0.25006985323271425,0.018278187962975114,0.01833400724052532,-0.30538737025396856,-0.005007650557803833,0.5102599179206566,0.4952120383036936,-0.07880520708595387,0.5314062188623206,-0.9620130243967209,0.3360430615316896,False
BTC,Sentiment,M0_Benchmark,M2_Sentiment,731,208,0.02482565314814214,0.02484759663245854,-0.08839036050917201,0.018278187962975114,0.018296461240755856,-0.09997313638396212,-0.0017685884957663323,0.5102599179206566,0.4952120383036936,-1.3743655481131534,0.9153358869205732,-1.625863903677076,0.10397861039776711,True
BTC,Both,M0_Benchmark,M3_Both,731,208,0.02482565314814214,0.02490631970065605,-0.3249322466262946,0.018278187962975114,0.01834762993477699,-0.3799171555875173,-0.006509203029015476,0.5102599179206566,0.4842681258549932,-0.3352633060875053,0.6312867644846796,-1.236391221231209,0.21631317769673208,False
ETH,Activity,M0_Benchmark,M1_Activity,731,208,0.036735979535602384,0.03677179228139937,-0.0974868405571579,0.026279570818191565,0.02630228892786396,-0.08644779562635749,-0.0019506871795513803,0.5020519835841313,0.49794801641586867,-2.1449249649977413,0.9840205765896479,-2.316531481502496,0.020529267595792572,False
ETH,Sentiment,M0_Benchmark,M2_Sentiment,719,204,0.03694678296083916,0.03700022137786745,-0.14463618411630186,0.02643328718168828,0.026513782708674008,-0.3045233323893696,-0.0028948156449015716,0.49235048678720444,0.5173852573018081,-0.5202082207094542,0.698540771882507,-1.078431800195027,0.2808411019371996,True
ETH,Both,M0_Benchmark,M3_Both,719,204,0.03694678296083916,0.037035949315663716,-0.24133726316324486,0.02643328718168828,0.02652757587614464,-0.356704384922964,-0.004832569630724093,0.49235048678720444,0.5187760778859527,-1.1335953668242587,0.8715178413023021,-1.73545354136664,0.08266050364020375,False
