Asset,Model,Sensitivity_Type,Extreme_Threshold_Abs_Return,Observations_Removed,Primary_N,Sensitivity_N,Primary_Sentiment_Coefficient,Primary_Sentiment_HAC_SE,Primary_Sentiment_p,Sensitivity_Sentiment_Coefficient,Sensitivity_Sentiment_HAC_SE,Sensitivity_Sentiment_p,Coefficient_Change
BTC,M2_Sentiment,Target_Return_Only,0.25,2,1821,1819,0.004605564485119447,0.010918777958297496,0.6731694050527268,0.0034165361245341364,0.010523218345967773,0.7454335161816796,-0.0011890283605853103
BTC,M3_Both,Target_Return_Only,0.25,2,1821,1819,0.00600135719172832,0.011098298698581675,0.588682881075284,0.004790382507821041,0.010703962532612455,0.6544898589826484,-0.0012109746839072798
ETH,M2_Sentiment,Target_Return_Only,0.25,2,1799,1797,0.0024723858873065283,0.003929201187099763,0.5291960548461925,0.002127071424287505,0.0038816728853689904,0.5837069948972969,-0.0003453144630190231
ETH,M3_Both,Target_Return_Only,0.25,2,1799,1797,0.002661471636408555,0.003920648791517797,0.4972427354705796,0.0024095136165729406,0.0038963235351968445,0.5363071069848715,-0.00025195801983561453
