Asset,Model,Sentiment_SD,Sentiment_Coefficient,One_SD_Sentiment_Effect_Log_Return,One_SD_Sentiment_Effect_Percentage_Points_Approx,One_SD_Sentiment_Effect_Exact_Percent_Return,Target_Return_SD,Effect_As_Fraction_of_Target_SD
BTC,M2_Sentiment,0.07473491451328286,0.004605564485119447,0.00034419646808081343,0.03441964680808134,0.03442557104820221,0.03319873659974656,0.01036775803340182
BTC,M3_Both,0.07473491451328286,0.00600135719172832,0.0004485109166874913,0.044851091668749135,0.04486115127475543,0.03319873659974656,0.01350987906843766
ETH,M2_Sentiment,0.22441058851551607,0.0024723858873065283,0.0005548295720079144,0.05548295720079144,0.05549835184048835,0.04155212256470705,0.013352616852337832
ETH,M3_Both,0.22441058851551607,0.002661471636408555,0.0005972624162437974,0.05972624162437974,0.05974408129554298,0.04155212256470705,0.014373812440356338
