Asset,Day_Type,Comparison,N,Start,End,Benchmark_RMSE,Extended_RMSE,Benchmark_MAE,Extended_MAE,OOS_R2_vs_Benchmark,Benchmark_Directional_Accuracy,Extended_Directional_Accuracy,Clark_West_Z,Clark_West_One_Sided_P,DM_Z,DM_Two_Sided_P,Extended_Lower_RMSE
BTC,Weekend,Sentiment_Weekend,208,2024-01-06,2025-12-28,0.015970885787183527,0.01601661645341522,0.010067177864169535,0.010117548111414628,-0.005734952827255446,0.5432692307692307,0.5336538461538461,-1.840724780939211,0.9671690497342641,-2.084000899390934,0.037160085454741275,False
BTC,Weekday,Sentiment_Weekday,523,2024-01-01,2025-12-31,0.02756776634015722,0.02758484145874896,0.0215437522087716,0.02154926034382082,-0.0012391578218564625,0.497131931166348,0.47992351816443596,-0.9821860158879467,0.8369958922076419,-1.182977529227353,0.23681805312792625,False
ETH,Weekend,Sentiment_Weekend,204,2024-01-06,2025-12-28,0.027321503836941333,0.027366927032058615,0.01735583034327187,0.017365092966053212,-0.003327851527712644,0.5392156862745098,0.5637254901960784,-0.14340142670508338,0.5570134218634599,-0.6769239334445843,0.49845421801129486,False
ETH,Weekday,Sentiment_Weekday,515,2024-01-01,2025-12-31,0.040126082788902395,0.040182526387631375,0.03002901765748818,0.03013772971351797,-0.0028152908616612127,0.47378640776699027,0.49902912621359224,-0.5226525633488566,0.6993919726032171,-0.9658544782712518,0.33411700363516383,False
