Asset,Model,Sample,N,R_Squared,Adjusted_R_Squared,Sentiment_Coefficient,Sentiment_p_value,Sentiment_Significant_5pct,Cross_Crypto_Coefficient,Cross_Crypto_p_value,Cross_Crypto_Significant_5pct,HAC_Maxlags
BTC,R0_Benchmark_CrossCrypto,Common_Main_Model_Sample,1821,0.014588037502276663,0.010237432811337488,,,False,0.038411196506184075,0.616453969051041,False,7
BTC,R1_Activity_CrossCrypto,Common_Main_Model_Sample,1821,0.01563775693961955,0.01074584076759122,,,False,0.037394149870171804,0.6253958390745806,False,7
BTC,R2_Sentiment_CrossCrypto,Common_Main_Model_Sample,1821,0.014661821621131166,0.00976505541162831,0.003860257176417032,0.7283244699303935,False,0.03779168263731735,0.6229215923592599,False,7
BTC,R3_Both_CrossCrypto,Common_Main_Model_Sample,1821,0.015772893017647727,0.010335174194540664,0.005246530703571575,0.6425320990710406,False,0.03651838956087948,0.6340774429002495,False,7
ETH,R0_Benchmark_CrossCrypto,Common_Main_Model_Sample,1799,0.00417874137414731,-0.0002718564297670145,,,False,0.009516502439285817,0.8378309632567239,False,7
ETH,R1_Activity_CrossCrypto,Common_Main_Model_Sample,1799,0.00418128400575013,-0.0008284244592851042,,,False,0.009540998391602381,0.8374498412241174,False,7
ETH,R2_Sentiment_CrossCrypto,Common_Main_Model_Sample,1799,0.0043536974338740375,-0.0006551436634401053,0.002478958918821986,0.5285631280249647,False,0.009699514575790439,0.8349315736765343,False,7
ETH,R3_Both_CrossCrypto,Common_Main_Model_Sample,1799,0.00437466955065513,-0.0011937047807171197,0.00267011121958326,0.4964029039830229,False,0.009785701891239697,0.8335189389583538,False,7
