Asset,Date,Benchmark_Cumulative_Squared_Error,Extended_Cumulative_Squared_Error,Benchmark_Minus_Extended_Cumulative_Loss,Extended_Loss_Lower
BTC,2024-01-01,0.000728233753505613,0.0007147076174699166,1.3526136035696412e-05,True
BTC,2024-01-02,0.0021632523926760874,0.0020783554121423155,8.48969805337719e-05,True
BTC,2024-01-03,0.004035585875646687,0.003911927734582645,0.00012365814106404197,True
BTC,2024-01-04,0.004942856885668985,0.004794265278709516,0.0001485916069594688,True
BTC,2024-01-05,0.0049802534127689636,0.004835184256508327,0.00014506915626063665,True
BTC,2024-01-06,0.004985513189857462,0.0048413329364804985,0.00014418025337696334,True
BTC,2024-01-07,0.005036281364583486,0.004891412979641505,0.00014486838494198045,True
BTC,2024-01-08,0.009049849931352816,0.00900139487171772,4.845505963509654e-05,True
BTC,2024-01-09,0.009881919580843748,0.00980518514688422,7.673443395952821e-05,True
BTC,2024-01-10,0.009931367652062996,0.009868645596319729,6.272205574326707e-05,True
BTC,2024-01-11,0.009970450592850304,0.009900107741512287,7.034285133801672e-05,True
BTC,2024-01-12,0.01366077179296525,0.01364235314943516,1.841864353008954e-05,True
BTC,2024-01-13,0.01407239318396295,0.014017854616946091,5.453856701685862e-05,True
BTC,2024-01-14,0.014253606971725027,0.014201105948785733,5.25010229392945e-05,True
BTC,2024-01-15,0.014254054390967764,0.014202695816663235,5.135857430452889e-05,True
BTC,2024-01-16,0.014523395274550889,0.01446284935260824,6.054592194264935e-05,True
BTC,2024-01-17,0.014715779196586325,0.014663428433096383,5.235076348994276e-05,True
BTC,2024-01-18,0.016229096849490077,0.016221347890592114,7.748958897962899e-06,True
BTC,2024-01-19,0.01626839629965372,0.01625816662244215,1.022967721156856e-05,True
BTC,2024-01-20,0.016276432221670228,0.016265812599049554,1.0619622620673674e-05,True
BTC,2024-01-21,0.0162773535486745,0.016268898317913196,8.45523076130339e-06,True
BTC,2024-01-22,0.018822180897870095,0.01879878315544286,2.3397742427235663e-05,True
BTC,2024-01-23,0.019344746039739093,0.019306781478422554,3.796456131653983e-05,True
BTC,2024-01-24,0.019495778052435783,0.019485538280671583,1.0239771764199851e-05,True
BTC,2024-01-25,0.01952978946937926,0.019519976487791982,9.812981587278141e-06,True
BTC,2024-01-26,0.02207296797549963,0.022071838616957207,1.129358542423936e-06,True
BTC,2024-01-27,0.02215477533988853,0.022172648182453566,-1.787284256503721e-05,False
BTC,2024-01-28,0.02216781158788473,0.022183740341003767,-1.5928753119037742e-05,False
BTC,2024-01-29,0.02291862010778349,0.02288426158490109,3.4358522882402265e-05,True
BTC,2024-01-30,0.023027528105274628,0.02299817887971935,2.9349225555277275e-05,True
BTC,2024-01-31,0.02365529982778945,0.023591868496139336,6.343133165011283e-05,True
BTC,2024-02-01,0.0237843496822277,0.023723194141249404,6.115554097829712e-05,True
BTC,2024-02-02,0.023800545639020527,0.02374629749917527,5.42481398452567e-05,True
BTC,2024-02-03,0.02380503567221083,0.02375379187304221,5.12437991686196e-05,True
BTC,2024-02-04,0.023838372743402038,0.023771572844560343,6.679989884169485e-05,True
BTC,2024-02-05,0.023938342154720908,0.023876078901817616,6.226325290329196e-05,True
BTC,2024-02-06,0.0243149743975236,0.024322367426161968,-7.393028638367355e-06,False
BTC,2024-02-07,0.024894219410965673,0.0249469684265032,-5.2749015537527366e-05,False
BTC,2024-02-08,0.02565268477363169,0.025680694907710248,-2.8010134078559207e-05,False
BTC,2024-02-09,0.02832807086933073,0.028403017767165074,-7.494689783434441e-05,False
BTC,2024-02-10,0.028565994732267744,0.028638829451672093,-7.283471940434938e-05,False
BTC,2024-02-11,0.02857923157770842,0.028662180320569303,-8.294874286088327e-05,False
BTC,2024-02-12,0.029816303004993615,0.029943292169066115,-0.0001269891640724996,False
BTC,2024-02-13,0.029816395741913672,0.029943311583751363,-0.00012691584183769158,False
BTC,2024-02-14,0.03201078169324282,0.03211672931918618,-0.00010594762594336171,False
BTC,2024-02-15,0.03202082106717756,0.03213307931841374,-0.00011225825123618166,False
BTC,2024-02-16,0.032121324116338036,0.032208980994882765,-8.765687854472848e-05,False
BTC,2024-02-17,0.03212478289560507,0.03221399325585047,-8.921036024540224e-05,False
BTC,2024-02-18,0.03212522654433222,0.032214034571870796,-8.88080275385783e-05,False
BTC,2024-02-19,0.0321254604888498,0.032214069744256,-8.860925540619957e-05,False
BTC,2024-02-20,0.03213243129103189,0.032222452204371636,-9.002091333974727e-05,False
BTC,2024-02-21,0.03228566389270787,0.032383393939094667,-9.773004638679444e-05,False
BTC,2024-02-22,0.032296628303555376,0.03239241894452981,-9.579064097443163e-05,False
BTC,2024-02-23,0.03249556201013806,0.03259428601649577,-9.872400635770745e-05,False
BTC,2024-02-24,0.03254550797067766,0.03264552896618276,-0.00010002099550510124,False
BTC,2024-02-25,0.03255462495837954,0.03267129982274155,-0.00011667486436200969,False
BTC,2024-02-26,0.035305498201886436,0.03550206559877137,-0.0001965673968849363,False
BTC,2024-02-27,0.03734684771051992,0.0375503449417472,-0.0002034972312272773,False
BTC,2024-02-28,0.042332037107689804,0.04250494043161851,-0.00017290332392870533,False
BTC,2024-02-29,0.04289944226578841,0.043054522278981475,-0.00015508001319306658,False
BTC,2024-03-01,0.04329650951092175,0.04344168172543188,-0.0001451722145101239,False
BTC,2024-03-02,0.04340620714376568,0.04354799328571171,-0.00014178614194602923,False
BTC,2024-03-03,0.043495654603321936,0.04363247212528946,-0.00013681752196752217,False
