Asset,Lag,Residual_ACF,Approx_95pct_Bound,Outside_Approx_95pct_Bound
BTC,0,1.0,0.045930492097715166,True
BTC,1,-0.0013424167837705787,0.045930492097715166,False
BTC,2,0.012220123802425912,0.045930492097715166,False
BTC,3,-0.004506845070026338,0.045930492097715166,False
BTC,4,0.030942837599846104,0.045930492097715166,False
BTC,5,0.014200968394187755,0.045930492097715166,False
BTC,6,-0.004789935427711409,0.045930492097715166,False
BTC,7,-0.017180672884962306,0.045930492097715166,False
BTC,8,-0.03458667556532495,0.045930492097715166,False
BTC,9,0.011619542782886842,0.045930492097715166,False
BTC,10,0.04814442696617433,0.045930492097715166,True
BTC,11,-0.02718048754272138,0.045930492097715166,False
BTC,12,0.0028742019207902633,0.045930492097715166,False
BTC,13,0.009380894746785919,0.045930492097715166,False
BTC,14,-0.010611866484422078,0.045930492097715166,False
BTC,15,0.013603701325271916,0.045930492097715166,False
BTC,16,-0.022098764715790097,0.045930492097715166,False
BTC,17,-0.007322221122127294,0.045930492097715166,False
BTC,18,0.0017283036334718338,0.045930492097715166,False
BTC,19,-0.02141554366481057,0.045930492097715166,False
BTC,20,-0.002530053372252833,0.045930492097715166,False
BTC,21,-0.01680584826245235,0.045930492097715166,False
BTC,22,-0.005855351663160343,0.045930492097715166,False
BTC,23,-0.010227959700367257,0.045930492097715166,False
BTC,24,0.020624282356314295,0.045930492097715166,False
BTC,25,0.03913461989003509,0.045930492097715166,False
BTC,26,0.03223390430193212,0.045930492097715166,False
BTC,27,0.030107994384945998,0.045930492097715166,False
BTC,28,0.033105995558388654,0.045930492097715166,False
BTC,29,0.00240690532311666,0.045930492097715166,False
BTC,30,0.00662467011823084,0.045930492097715166,False
ETH,0,1.0,0.045930492097715166,True
ETH,1,-0.0023086466110843326,0.045930492097715166,False
ETH,2,0.020778452595783353,0.045930492097715166,False
ETH,3,-0.005690582882164433,0.045930492097715166,False
ETH,4,0.02966572240652661,0.045930492097715166,False
ETH,5,-0.03578365888495302,0.045930492097715166,False
ETH,6,0.042676569930138575,0.045930492097715166,False
ETH,7,0.0036549358463171186,0.045930492097715166,False
ETH,8,-0.05558269782821828,0.045930492097715166,True
ETH,9,0.013621579165201948,0.045930492097715166,False
ETH,10,0.0410912652709068,0.045930492097715166,False
ETH,11,-0.049321793384549326,0.045930492097715166,True
ETH,12,0.00042749179951985755,0.045930492097715166,False
ETH,13,0.006541308925763227,0.045930492097715166,False
ETH,14,0.006788160403210847,0.045930492097715166,False
ETH,15,-0.019898273308473654,0.045930492097715166,False
ETH,16,-0.020046873898871928,0.045930492097715166,False
ETH,17,0.023796779215298457,0.045930492097715166,False
ETH,18,-0.020812914382483744,0.045930492097715166,False
ETH,19,-0.01828138962834898,0.045930492097715166,False
ETH,20,0.03210846262800903,0.045930492097715166,False
ETH,21,-0.0031733815982504143,0.045930492097715166,False
ETH,22,-0.02159930273884074,0.045930492097715166,False
ETH,23,-0.012779459457681348,0.045930492097715166,False
ETH,24,0.02120713652705279,0.045930492097715166,False
ETH,25,0.0388178862988666,0.045930492097715166,False
ETH,26,0.027661829417245504,0.045930492097715166,False
ETH,27,0.0565456943856333,0.045930492097715166,True
ETH,28,0.02990064887777841,0.045930492097715166,False
ETH,29,0.014505881736135127,0.045930492097715166,False
ETH,30,0.023363880595095653,0.045930492097715166,False
