Date,Asset,Observed_Return,Fitted_Return,Residual
2021-01-06,BTC,0.0617214774948189,-0.009267998117722522,0.07098947561254142
2021-01-07,BTC,0.1006314949050913,-0.008722385300237766,0.10935388020532906
2021-01-08,BTC,0.0077107603978929,-0.010975447743246446,0.018686208141139346
2021-01-09,BTC,0.0195675442998421,-0.003927980714931087,0.023495525014773186
2021-01-10,BTC,-0.0566634520820478,-0.005161621097778136,-0.051501830984269664
2021-01-11,BTC,-0.1289135667911746,0.0037976926341619015,-0.13271125942533651
2021-01-12,BTC,0.0215156084179575,0.015507369518417944,0.0060082388995395565
2021-01-13,BTC,0.0721662657821702,-0.00274094099136482,0.07490720677353502
2021-01-14,BTC,0.038165394438249,-0.008111897185095925,0.04627729162334492
2021-01-15,BTC,-0.0660631270807206,-0.004647567948397991,-0.061415559132322606
2021-01-16,BTC,-0.009190284843198,0.006473154781662685,-0.015663439624860685
2021-01-17,BTC,0.009190284843198,-0.00022616788487565757,0.009416452728073657
2021-01-18,BTC,-0.0007486212001674,-0.0023680858110764215,0.0016194646109090214
2021-01-19,BTC,0.0066925530277567,-0.0010242391241549731,0.0077167921519116734
2021-01-20,BTC,-0.043817424824704,0.0003724496417363758,-0.044189874466440376
2021-01-21,BTC,-0.1125675819575238,0.007321109857378408,-0.1198886918149022
2021-01-22,BTC,0.0656790339388585,0.013554631329743133,0.05212440260911537
2021-01-23,BTC,-0.0285954641795404,-0.008421134799443532,-0.02017432938009687
2021-01-24,BTC,-0.0145861987089724,0.0030600630426132805,-0.01764626175158568
2021-01-25,BTC,0.0246251396389837,0.0013865200449363108,0.02323861959404739
2021-01-26,BTC,-0.0212542892844156,-0.0025410897687705666,-0.018713199515645033
2021-01-27,BTC,-0.0316053100409713,0.002452116756260142,-0.03405742679723144
2021-01-28,BTC,0.0700842388772838,0.002840264683872442,0.06724397419341135
2021-01-29,BTC,0.0404795754539982,-0.008410558615725466,0.04889013406972366
2021-01-30,BTC,0.001332699873233,-0.005741650657158844,0.007074350530391843
2021-01-31,BTC,-0.0703967583968336,-0.0007697709430316353,-0.06962698745380196
2021-02-01,BTC,0.0405526049461602,0.007891436914969418,0.032661168031190776
2021-02-02,BTC,0.058263573246995,-0.003321269636546045,0.06158484288354105
2021-02-03,BTC,0.0442345582815795,-0.007515314883757644,0.05174987316533715
2021-02-04,BTC,0.0102890167719705,-0.005145519301587181,0.01543453607355768
2021-02-05,BTC,0.0047382197675478,-0.002428972281661432,0.0071671920492092315
2021-02-06,BTC,0.0566321495747865,0.0009511147618192937,0.05568103481296721
2021-02-07,BTC,-0.0554418956858912,-0.005337514481948193,-0.05010438120394301
2021-02-08,BTC,0.1644048484687006,0.008070041096469803,0.1563348073722308
2021-02-09,BTC,0.0579743056167431,-0.01821229709360068,0.07618660271034378
2021-02-10,BTC,-0.0503693366697898,-0.006759572611697659,-0.043609764058092144
2021-02-11,BTC,0.0415069799481858,0.006191144777697825,0.035315835170487975
2021-02-12,BTC,0.0214093207947683,-0.005556857907684855,0.026966178702453155
2021-02-13,BTC,-0.0160892263185813,-0.0023878033250791784,-0.01370142299350212
2021-02-14,BTC,0.0306195455637617,0.0021276211891726455,0.028491924374589053
2021-02-15,BTC,-0.0089821477746308,-0.00344924234255175,-0.00553290543207905
2021-02-16,BTC,0.0077575928774363,0.001247877136490706,0.006509715740945594
2021-02-17,BTC,0.0754203269020155,-0.001751443303994801,0.0771717702060103
2021-02-18,BTC,-0.0068577131073469,-0.010274741609223523,0.0034170285018766226
2021-02-19,BTC,0.06660585521165,0.0010102263782944985,0.0655956288333555
2021-02-20,BTC,0.0159824264123471,-0.007748315576148778,0.023730741988495875
