Asset,Variable,Coefficient,HAC_Coefficient,Coefficient_Difference,OLS_SE,HAC_SE,HAC_to_OLS_SE_Ratio,OLS_P_Value,HAC_P_Value,OLS_Significance,HAC_Significance
BTC,const,0.012881492213800066,0.012881492213800066,0.0,0.03220100004217511,0.031504315989331955,0.9783645212282017,0.6891786612282743,0.6826758449284009,,
BTC,BTC_Lagged_Return,-0.11924172554615935,-0.11924172554615935,0.0,0.024470009298326063,0.06875005008091796,2.8095637088957295,1.195020245828363e-06,0.08301287505697119,***,*
BTC,Lagged_Log_BTC_Volume,-0.0005123507691376557,-0.0005123507691376557,0.0,0.0013316473537748881,0.0013119998496199832,0.9852457153170401,0.7004680799105841,0.6962043781827636,,
BTC,Lagged_SP500_Return_Aligned,0.07148308249650734,0.07148308249650734,0.0,0.11779182635771591,0.14610663755115688,1.2403801016502891,0.5440201791894275,0.6247219116291722,,
BTC,Lagged_VIX_Change_Aligned,8.191353646343959e-05,8.191353646343959e-05,0.0,0.0006701742648458068,0.0007261286844028654,1.0834923429504302,0.9027326167801627,0.9101948149445408,,
BTC,Lagged_Gold_Return_Aligned,0.07905408872834827,0.07905408872834827,0.0,0.08584235413858034,0.08591322454917141,1.0008255879198824,0.35721381722300655,0.3576104963418034,,
BTC,Lagged_DXY_Return_Aligned,-0.021798844640199728,-0.021798844640199728,0.0,0.21168824874805028,0.2099571602946332,0.991822463156765,0.9179932741808738,0.9173195494173967,,
BTC,Lagged_US10Y_Change_Aligned,0.0012726808911085149,0.0012726808911085149,0.0,0.013399992866668533,0.014824845831303907,1.1063323673984624,0.924344197759881,0.9315968606286043,,
ETH,const,-0.006862429342118727,-0.006862429342118727,0.0,0.034088457779723975,0.03231750154697693,0.9480482149063246,0.8404768877375524,0.8318624977669582,,
ETH,ETH_Lagged_Return,-0.06031860963293443,-0.06031860963293443,0.0,0.025011532253553452,0.04725760081808558,1.8894324561571623,0.015980130777027226,0.2019850472854497,**,
ETH,Lagged_Log_ETH_Volume,0.0003127099430185981,0.0003127099430185981,0.0,0.0014507157925828555,0.0013974574635742581,0.9632882406871879,0.8293583983936096,0.8229609926132541,,
ETH,Lagged_SP500_Return_Aligned,0.050831165400564225,0.050831165400564225,0.0,0.14771531751858585,0.17553364725967335,1.188323934229687,0.7307991546631043,0.7721701065801654,,
ETH,Lagged_VIX_Change_Aligned,-0.00045572812920863736,-0.00045572812920863736,0.0,0.0008403632369456505,0.0009810362357254218,1.1673954697150433,0.5876792035444734,0.6423184711274319,,
ETH,Lagged_Gold_Return_Aligned,0.08312967895642882,0.08312967895642882,0.0,0.10754657131444115,0.11533307767360129,1.0724012515135812,0.4396441653657971,0.47113832372577547,,
ETH,Lagged_DXY_Return_Aligned,0.27656472023541123,0.27656472023541123,0.0,0.2650592097408348,0.3173446787648142,1.1972595823970886,0.2968987887052578,0.38359860123418166,,
ETH,Lagged_US10Y_Change_Aligned,-0.012510779654281382,-0.012510779654281382,0.0,0.01679784922486421,0.016960742521565684,1.0096972710327914,0.4564984671523168,0.46083380234850546,,
