Date,BTC_Price,BTC_Return,BTC_Lagged_Return
2021-01-01,29260.375,,
2021-01-02,31698.37,0.080031048361755,
2021-01-03,29260.375,-0.080031048361755,0.080031048361755
2021-01-04,31038.785,0.05900333986658243,-0.080031048361755
2021-01-05,33814.255,0.08564490763376893,0.05900333986658243
2021-01-06,35967.075,0.061721477494818947,0.08564490763376893
2021-01-07,39774.875,0.10063149490509134,0.061721477494818947
2021-01-08,40082.755,0.007710760397892911,0.10063149490509134
2021-01-09,40874.8,0.019567544299842178,0.007710760397892911
2021-01-10,38623.09,-0.05666345208204786,0.019567544299842178
2021-01-11,33951.625,-0.12891356679117463,-0.05666345208204786
2021-01-12,34690.03,0.021515608417957535,-0.12891356679117463
2021-01-13,37286.025,0.07216626578217025,0.021515608417957535
2021-01-14,38736.565,0.03816539443824907,0.07216626578217025
2021-01-15,36260.205,-0.06606312708072064,0.03816539443824907
2021-01-16,35928.49,-0.009190284843198074,-0.06606312708072064
2021-01-17,36260.205,0.009190284843198093,-0.009190284843198074
2021-01-18,36233.07,-0.0007486212001674035,0.009190284843198093
2021-01-19,36476.375,0.006692553027756704,-0.0007486212001674035
2021-01-20,34912.585,-0.04381742482470406,0.006692553027756704
2021-01-21,31195.685,-0.11256758195752385,-0.04381742482470406
2021-01-22,33313.37,0.0656790339388585,-0.11256758195752385
2021-01-23,32374.25,-0.028595464179540498,0.0656790339388585
2021-01-24,31905.46,-0.014586198708972417,-0.028595464179540498
2021-01-25,32700.89,0.024625139638983766,-0.014586198708972417
2021-01-26,32013.19,-0.02125428928441565,0.024625139638983766
2021-01-27,31017.225,-0.03160531004097136,-0.02125428928441565
2021-01-28,33269.03,0.07008423887728381,-0.03160531004097136
2021-01-29,34643.375,0.04047957545399825,0.07008423887728381
2021-01-30,34689.575,0.0013326998732330897,0.04047957545399825
2021-01-31,32331.515,-0.07039675839683364,0.0013326998732330897
2021-02-01,33669.59,0.040552604946160295,-0.07039675839683364
2021-02-02,35689.575,0.05826357324699509,0.040552604946160295
2021-02-03,37303.725,0.044234558281579524,0.05826357324699509
