Date,BTC_Volume,Log_BTC_Volume,Lagged_Log_BTC_Volume
2021-01-01,40730301359,24.43023815752363,
2021-01-02,67865420765,24.94079247470659,24.43023815752363
2021-01-03,78665235202,25.088467156553605,24.94079247470659
2021-01-04,81163475344,25.11973117188423,25.088467156553605
2021-01-05,67547324782,24.936094297045063,25.11973117188423
2021-01-06,75289433811,25.044605640671254,24.936094297045063
2021-01-07,84762141031,25.163114829949617,25.044605640671254
2021-01-08,88107519480,25.201823717892157,25.163114829949617
2021-01-09,61984162837,24.850144751248727,25.201823717892157
2021-01-10,79980747690,25.105051788783502,24.850144751248727
2021-01-11,123320567399,25.538053040983616,25.105051788783502
2021-01-12,74773277909,25.037726410892976,25.538053040983616
2021-01-13,69364315979,24.962638393246884,25.037726410892976
2021-01-14,63615990033,24.876130691306088,24.962638393246884
2021-01-15,67760757881,24.939249072012196,24.876130691306088
2021-01-16,57706187875,24.778630246911472,24.939249072012196
2021-01-17,52359854336,24.68140599601327,24.778630246911472
2021-01-18,49511702429,24.625474891287045,24.68140599601327
2021-01-19,57244195486,24.77059208534973,24.625474891287045
2021-01-20,66834573161,24.925486345890263,24.77059208534973
2021-01-21,75643067688,25.04929163633945,24.925486345890263
2021-01-22,77207272511,25.069759493050633,25.04929163633945
2021-01-23,48354737975,24.601830047322867,25.069759493050633
2021-01-24,48643830599,24.607790825594666,24.601830047322867
2021-01-25,59897054838,24.815893172879065,24.607790825594666
2021-01-26,60255421470,24.82185838817352,24.815893172879065
2021-01-27,62576762015,24.859659832317668,24.82185838817352
2021-01-28,76517157706,25.060780836369627,24.859659832317668
2021-01-29,117894572511,25.493056608748173,25.060780836369627
2021-01-30,65141828798,24.89983271128527,25.493056608748173
2021-01-31,52754542671,24.688915722580514,24.89983271128527
2021-02-01,61400400660,24.840682197485382,24.688915722580514
2021-02-02,63088585433,24.86780569366391,24.840682197485382
2021-02-03,61166818159,24.836870692483757,24.86780569366391
2021-02-04,68838074392,24.95502283567307,24.836870692483757
2021-02-05,58598066402,24.793967536432078,24.95502283567307
2021-02-06,71326033653,24.99052722609659,24.793967536432078
2021-02-07,65500641143,24.905325767982458,24.99052722609659
2021-02-08,101467222687,25.343001654083274,24.905325767982458
2021-02-09,91809846886,25.242985393373804,25.343001654083274
2021-02-10,87301089896,25.1926287842043,25.242985393373804
2021-02-11,81388911810,25.12250488212595,25.1926287842043
2021-02-12,76555041196,25.061275811826242,25.12250488212595
2021-02-13,70250456155,24.975332638448794,25.061275811826242
2021-02-14,71248675228,24.989442062631085,24.975332638448794
2021-02-15,77069903166,25.06797868029333,24.989442062631085
2021-02-16,77049582886,25.06771498514824,25.06797868029333
2021-02-17,80820545404,25.115497044953084,25.06771498514824
2021-02-18,52054723579,24.675561378687096,25.115497044953084
2021-02-19,63495496918,24.87423482565333,24.675561378687096
2021-02-20,68145460026,24.944910375496477,24.87423482565333
2021-02-21,51897585191,24.672538097924036,24.944910375496477
2021-02-22,92052420332,25.24562403794631,24.672538097924036
2021-02-23,106102492824,25.387671377332758,25.24562403794631
2021-02-24,63695521388,24.877380089172124,25.387671377332758
2021-02-25,54506565949,24.721587007487383,24.877380089172124
2021-02-26,350967941479,26.583960721423335,24.721587007487383
2021-02-27,45910946382,24.54996940884827,26.583960721423335
2021-02-28,53443887451,24.701898107746885,24.54996940884827
2021-03-01,53891300112,24.71023489389307,24.701898107746885
2021-03-02,47530897720,24.584645814833475,24.71023489389307
2021-03-03,53220811975,24.69771535933184,24.584645814833475
2021-03-04,52343816680,24.681099652291607,24.69771535933184
2021-03-05,48625928883,24.60742274169485,24.681099652291607
2021-03-06,34363564661,24.260262673180794,24.60742274169485
2021-03-07,43137459378,24.48765758368362,24.260262673180794
2021-03-08,48597428048,24.606836445629458,24.48765758368362
2021-03-09,50912227385,24.65336895532767,24.606836445629458
2021-03-10,57295577614,24.77148927817727,24.65336895532767
2021-03-11,56772343595,24.762315135556328,24.77148927817727
2021-03-12,55689944702,24.74306544158646,24.762315135556328
2021-03-13,60669829814,24.828712373787074,24.74306544158646
2021-03-14,43901225564,24.505208073813257,24.828712373787074
2021-03-15,66419369890,24.919254566099035,24.505208073813257
2021-03-16,59749798599,24.813431657024317,24.919254566099035
2021-03-17,60258313191,24.821906378072907,24.813431657024317
2021-03-18,55746041000,24.74407223131215,24.821906378072907
2021-03-19,49063873786,24.616388832830783,24.74407223131215
2021-03-20,50361731222,24.642497422457815,24.616388832830783
2021-03-21,51943414539,24.67342078108569,24.642497422457815
2021-03-22,56521454974,24.757886137071175,24.67342078108569
2021-03-23,56435023914,24.75635579409804,24.757886137071175
2021-03-24,70567223787,24.979831621338356,24.75635579409804
2021-03-25,67999812841,24.942770789780496,24.979831621338356
2021-03-26,56652197978,24.76019662292636,24.942770789780496
2021-03-27,47266542233,24.57906852978471,24.76019662292636
2021-03-28,47686580918,24.587915872788322,24.57906852978471
2021-03-29,57625587027,24.777232525230858,24.587915872788322
2021-03-30,54414116432,24.719889450381057,24.777232525230858
2021-03-31,65520826225,24.90563388668339,24.719889450381057
2021-04-01,61669163792,24.845049866461093,24.90563388668339
2021-04-02,58727860620,24.796180078437814,24.845049866461093
2021-04-03,59641344484,24.811614869915477,24.796180078437814
2021-04-04,50749662970,24.650170813861035,24.811614869915477
2021-04-05,60706272115,24.829312859410123,24.650170813861035
2021-04-06,66058027988,24.913799404631813,24.829312859410123
2021-04-07,75645303584,25.04932119440768,24.913799404631813
