Date,BTC_Return,BTC_Lagged_Return,ETH_Return,ETH_Lagged_Return
2021-01-01,,,,
2021-01-02,0.080031048361755,,0.0524557755459907,
2021-01-03,-0.080031048361755,0.080031048361755,-0.0524557755459908,0.0524557755459907
2021-01-04,0.0590033398665824,-0.080031048361755,0.3220380289599853,-0.0524557755459908
2021-01-05,0.0856449076337689,0.0590033398665824,0.0744312961541276,0.3220380289599853
2021-01-06,0.0617214774948189,0.0856449076337689,0.0874659336204694,0.0744312961541276
2021-01-07,0.1006314949050913,0.0617214774948189,0.0585521481689383,0.0874659336204694
2021-01-08,0.0077107603978929,0.1006314949050913,-0.0514169536540314,0.0585521481689383
2021-01-09,0.0195675442998421,0.0077107603978929,0.0807209526697571,-0.0514169536540314
2021-01-10,-0.0566634520820478,0.0195675442998421,0.0069518584406703,0.0807209526697571
2021-01-11,-0.1289135667911746,-0.0566634520820478,-0.2294594895192086,0.0069518584406703
2021-01-12,0.0215156084179575,-0.1289135667911746,0.0401845274810145,-0.2294594895192086
2021-01-13,0.0721662657821702,0.0215156084179575,0.0445522325809228,0.0401845274810145
2021-01-14,0.038165394438249,0.0721662657821702,0.0521246694827394,0.0445522325809228
2021-01-15,-0.0660631270807206,0.038165394438249,-0.0233999092366631,0.0521246694827394
2021-01-16,-0.009190284843198,-0.0660631270807206,0.0634835492424225,-0.0233999092366631
2021-01-17,0.009190284843198,-0.009190284843198,-0.0634835492424225,0.0634835492424225
2021-01-18,-0.0007486212001674,0.009190284843198,0.0622605254677991,-0.0634835492424225
2021-01-19,0.0066925530277567,-0.0007486212001674,0.1331554781016388,0.0622605254677991
2021-01-20,-0.043817424824704,0.0066925530277567,-0.0623450804054326,0.1331554781016388
2021-01-21,-0.1125675819575238,-0.043817424824704,-0.1229533139763345,-0.0623450804054326
2021-01-22,0.0656790339388585,-0.1125675819575238,0.0605040745316164,-0.1229533139763345
2021-01-23,-0.0285954641795404,0.0656790339388585,0.002752888055569,0.0605040745316164
2021-01-24,-0.0145861987089724,-0.0285954641795404,0.0858458694609986,0.002752888055569
2021-01-25,0.0246251396389837,-0.0145861987089724,-0.0096601970016136,0.0858458694609986
2021-01-26,-0.0212542892844156,0.0246251396389837,-0.0088173993914652,-0.0096601970016136
2021-01-27,-0.0316053100409713,-0.0212542892844156,-0.0443441457519921,-0.0088173993914652
2021-01-28,0.0700842388772838,-0.0316053100409713,0.0578148186055521,-0.0443441457519921
2021-01-29,0.0404795754539982,0.0700842388772838,0.0144945496128033,0.0578148186055521
2021-01-30,0.001332699873233,0.0404795754539982,0.011964741425828,0.0144945496128033
2021-01-31,-0.0703967583968336,0.001332699873233,-0.073236667738258,0.011964741425828
2021-02-01,0.0405526049461602,-0.0703967583968336,0.0451274982165844,-0.073236667738258
2021-02-02,0.058263573246995,0.0405526049461602,0.1182157035707724,0.0451274982165844
2021-02-03,0.0442345582815795,0.058263573246995,0.0719670119028979,0.1182157035707724
2021-02-04,0.0102890167719705,0.0442345582815795,0.0055070656306023,0.0719670119028979
2021-02-05,0.0047382197675478,0.0102890167719705,0.0464735196858439,0.0055070656306023
2021-02-06,0.0566321495747865,0.0047382197675478,-0.0055543556123134,0.0464735196858439
2021-02-07,-0.0554418956858912,0.0566321495747865,-0.0938991442931581,-0.0055543556123134
2021-02-08,0.1644048484687006,-0.0554418956858912,0.0897643901184346,-0.0938991442931581
2021-02-09,0.0579743056167431,0.1644048484687006,0.0380474103410317,0.0897643901184346
2021-02-10,-0.0503693366697898,0.0579743056167431,-0.023343404821077,0.0380474103410317
2021-02-11,0.0415069799481858,-0.0503693366697898,0.02317955236702,-0.023343404821077
2021-02-12,0.0214093207947683,0.0415069799481858,0.0459787008021474,0.02317955236702
2021-02-13,-0.0160892263185813,0.0214093207947683,-0.0213651990064852,0.0459787008021474
2021-02-14,0.0306195455637617,-0.0160892263185813,-0.005251270987551,-0.0213651990064852
2021-02-15,-0.0089821477746308,0.0306195455637617,-0.0083759808263714,-0.005251270987551
2021-02-16,0.0077575928774363,-0.0089821477746308,-0.0203762035598103,-0.0083759808263714
2021-02-17,0.0754203269020155,0.0077575928774363,0.0567384585075147,-0.0203762035598103
2021-02-18,-0.0068577131073469,0.0754203269020155,0.0479493463315288,0.0567384585075147
