Date,ETH_Volume,Log_ETH_Volume,Lagged_Log_ETH_Volume
2021-01-01,13652004358,23.337152187211448,
2021-01-02,19740771179,23.7059519370073,23.337152187211448
2021-01-03,45200463368,24.534373175236475,23.7059519370073
2021-01-04,56945985763,24.76536903731401,24.534373175236475
2021-01-05,41535932781,24.44982473969564,24.76536903731401
2021-01-06,44699914188,24.523237418832547,24.44982473969564
2021-01-07,40468027280,24.423778049402706,24.523237418832547
2021-01-08,44334826666,24.515036360128246,24.423778049402706
2021-01-09,33233105361,24.226812365473318,24.515036360128246
2021-01-10,40616938053,24.427451009976764,24.226812365473318
2021-01-11,60733630300,24.829763422773873,24.427451009976764
2021-01-12,37494601692,24.347462804680276,24.829763422773873
2021-01-13,30109792795,24.128116297815577,24.347462804680276
2021-01-14,33410915929,24.23214850775522,24.128116297815577
2021-01-15,35972039310,24.306007787792478,24.23214850775522
2021-01-16,32319240157,24.19892856032913,24.306007787792478
2021-01-17,29258032819,24.099419999211978,24.19892856032913
2021-01-18,25817455560,23.97431667219529,24.099419999211978
2021-01-19,47195935190,24.577573606973548,23.97431667219529
2021-01-20,46784030909,24.568807761748097,24.577573606973548
2021-01-21,45932464754,24.550437997114486,24.568807761748097
2021-01-22,43918338506,24.505597803423004,24.550437997114486
2021-01-23,27253895441,24.02846229980231,24.505597803423004
2021-01-24,36418163554,24.3183334858669,24.02846229980231
2021-01-25,43565777745,24.49753776498953,24.3183334858669
2021-01-26,41572917750,24.45071477658594,24.49753776498953
2021-01-27,39394416990,24.396889942448375,24.45071477658594
2021-01-28,34637234789,24.268195090346904,24.396889942448375
2021-01-29,53611955259,24.705037926029,24.268195090346904
2021-01-30,30616574234,24.14480734090385,24.705037926029
2021-01-31,25198853581,23.950064337611497,24.14480734090385
2021-02-01,29210670920,24.097799921928566,23.950064337611497
2021-02-02,45437142801,24.539595730883253,24.097799921928566
2021-02-03,41874566399,24.457944472387286,24.539595730883253
2021-02-04,44396871836,24.516434849758436,24.457944472387286
2021-02-05,40108628454,24.414857321528913,24.516434849758436
2021-02-06,39873420648,24.40897578969335,24.414857321528913
2021-02-07,39889440151,24.40937746794448,24.40897578969335
2021-02-08,48012285956,24.594722772519457,24.40937746794448
2021-02-09,44180727529,24.51155450218623,24.594722772519457
2021-02-10,41916084617,24.458935471285002,24.51155450218623
2021-02-11,36021495262,24.30738168782596,24.458935471285002
2021-02-12,37905036865,24.35834983901719,24.30738168782596
2021-02-13,35359490535,24.288832666665225,24.35834983901719
2021-02-14,31439114900,24.171318652075517,24.288832666665225
2021-02-15,38955610883,24.385688652367282,24.171318652075517
2021-02-16,34269369268,24.25751776787803,24.385688652367282
2021-02-17,35955412703,24.305545471755117,24.25751776787803
2021-02-18,28255902969,24.064568227365744,24.305545471755117
2021-02-19,26268814253,23.99164830270091,24.064568227365744
2021-02-20,34696091102,24.269892869196575,23.99164830270091
2021-02-21,23626547717,23.8856368200111,24.269892869196575
2021-02-22,42409646036,24.470641674158987,23.8856368200111
2021-02-23,52029864713,24.675083712072265,24.470641674158987
2021-02-24,31329000537,24.1678100402526,24.675083712072265
2021-02-25,24481681873,23.921190996192944,24.1678100402526
2021-02-26,31435997881,24.171219502543543,23.921190996192944
2021-02-27,20742103233,23.75543144410475,24.171219502543543
2021-02-28,27637026080,24.042422235266987,23.75543144410475
2021-03-01,24032838645,23.902687008931565,24.042422235266987
2021-03-02,22523669722,23.83783258084999,23.902687008931565
2021-03-03,22674780680,23.844519160574485,23.83783258084999
2021-03-04,22906118718,23.854669904742696,23.844519160574485
2021-03-05,21067146937,23.770980646813655,23.854669904742696
2021-03-06,22746262366,23.84766667724163,23.770980646813655
2021-03-07,23809935410,23.893368784715758,23.84766667724163
2021-03-08,27630991158,24.042203847768192,23.893368784715758
2021-03-09,23461244507,23.878615726803957,24.042203847768192
2021-03-10,25154173185,23.948289651536143,23.878615726803957
2021-03-11,24013132909,23.901866722174212,23.948289651536143
2021-03-12,22435821312,23.833924684217767,23.901866722174212
2021-03-13,25014689475,23.942729068257663,23.833924684217767
2021-03-14,19344589211,23.685678589980686,23.942729068257663
2021-03-15,26244738810,23.9907313796103,23.685678589980686
2021-03-16,23828509590,23.894148582668493,23.9907313796103
2021-03-17,24512917348,23.922466054249483,23.894148582668493
2021-03-18,23263845504,23.870166297285095,23.922466054249483
2021-03-19,21249297710,23.77958968282953,23.870166297285095
2021-03-20,22677674970,23.844646796000724,23.77958968282953
2021-03-21,22977404620,23.857777162170624,23.844646796000724
2021-03-22,23599296129,23.884482723490827,23.857777162170624
2021-03-23,21998237965,23.814228194597153,23.884482723490827
2021-03-24,31228051473,24.164582613499498,23.814228194597153
2021-03-25,29650328701,24.112739048365796,24.164582613499498
2021-03-26,22548516548,23.838935115720084,24.112739048365796
2021-03-27,18102277710,23.619303607632453,23.838935115720084
2021-03-28,16599472938,23.53263678108195,23.619303607632453
2021-03-29,22796570548,23.849875947031997,23.53263678108195
2021-03-30,22512781703,23.837349060551762,23.849875947031997
2021-03-31,30226902621,24.131998180051696,23.837349060551762
2021-04-01,30914259795,24.15448339643886,24.131998180051696
2021-04-02,34862511022,24.274677906056297,24.15448339643886
2021-04-03,32011518871,24.189361639693132,24.274677906056297
2021-04-04,26006501902,23.98161241685866,24.189361639693132
2021-04-05,28889391170,24.08674027712842,23.98161241685866
2021-04-06,29222865881,24.098217317891386,24.08674027712842
2021-04-07,36116271935,24.31000934685161,24.098217317891386
2021-04-08,25312956529,23.95458221736411,24.31000934685161
2021-04-09,19812472092,23.70957747997724,23.95458221736411
2021-04-10,24986243611,23.94159125480846,23.70957747997724
2021-04-11,19692836132,23.703520758432514,23.94159125480846
2021-04-12,21727936609,23.80186467083869,23.703520758432514
2021-04-13,29456642939,24.10618528829697,23.80186467083869
2021-04-14,35592822986,24.295409852963225,24.10618528829697
2021-04-15,32325606817,24.199125533802455,24.295409852963225
2021-04-16,36196928256,24.312240097371134,24.199125533802455
2021-04-17,32349808978,24.199873953022717,24.312240097371134
2021-04-18,50696368718,24.649120122059372,24.199873953022717
2021-04-19,34060654971,24.251408741913853,24.649120122059372
2021-04-20,39433483315,24.39788112267891,24.251408741913853
2021-04-21,38899067643,24.3842361192373,24.39788112267891
2021-04-22,53575904724,24.704365265218996,24.3842361192373
2021-04-23,55413933925,24.73809691396678,24.704365265218996
2021-04-24,31854226936,24.184435924005033,24.73809691396678
2021-04-25,31814355546,24.183183457131804,24.184435924005033
2021-04-26,35208325408,24.28454840885739,24.183183457131804
2021-04-27,32275969215,24.19758880312753,24.28454840885739
2021-04-28,34269031076,24.25750789919133,24.19758880312753
2021-04-29,32578127990,24.20690697959901,24.25750789919133
2021-04-30,29777179889,24.117008161564996,24.20690697959901
2021-05-01,28726205272,24.081075618791402,24.117008161564996
2021-05-02,28032013047,24.056613017132648,24.081075618791402
2021-05-03,49174290212,24.61863676719769,24.056613017132648
2021-05-04,62402045158,24.856863886752656,24.61863676719769
2021-05-05,48334198383,24.601405188118026,24.856863886752656
2021-05-06,44300394788,24.514259425650796,24.601405188118026
2021-05-07,39607240515,24.402277779781294,24.514259425650796
2021-05-08,50208491286,24.6394499984635,24.402277779781294
2021-05-09,50568290278,24.646590542449562,24.6394499984635
2021-05-10,62691789007,24.861496319183537,24.646590542449562
2021-05-11,52679737865,24.68749673782202,24.861496319183537
2021-05-12,69023382175,24.957711156240936,24.68749673782202
2021-05-13,78398214539,25.085066990306203,24.957711156240936
2021-05-14,48174271215,24.598090923265264,25.085066990306203
2021-05-15,42422321751,24.470940517046284,24.598090923265264
2021-05-16,47359478734,24.58103282100044,24.470940517046284
2021-05-17,54061732774,24.713392430074226,24.58103282100044
2021-05-18,40416525218,24.422504578328944,24.713392430074226
2021-05-19,84482912776,25.159815135192556,24.422504578328944
2021-05-20,67610826680,24.937033965159575,25.159815135192556
2021-05-21,53774070802,24.70805723258318,24.937033965159575
2021-05-22,42089937660,24.463074538615892,24.70805723258318
2021-05-23,56005721977,24.74871970062244,24.463074538615892
2021-05-24,53697121740,24.706625238142077,24.74871970062244
2021-05-25,49558333256,24.626416262310507,24.706625238142077
2021-05-26,42499766020,24.472764407449862,24.626416262310507
2021-05-27,33373635283,24.231032062433787,24.472764407449862
2021-05-28,39999114805,24.412123160940478,24.231032062433787
2021-05-29,33773720220,24.24294882873503,24.412123160940478
2021-05-30,25876619428,23.976605673162858,24.24294882873503
2021-05-31,31007383150,24.15749117920354,23.976605673162858
2021-06-01,27363223090,24.032465725759607,24.15749117920354
