Date,Actual,Forecast
2024-01-02,0.0125389495095303,
2024-01-03,-0.0608662083679716,
2024-01-04,0.021428360404804,
2024-01-05,-0.0123791315114931,
2024-01-06,-0.0027396362062178,
2024-01-07,-0.0002230649128142,
2024-01-08,0.042860740297264,
2024-01-09,-0.009103463761962,
2024-01-10,0.0868154442999705,
2024-01-11,0.0293654497086816,
2024-01-12,-0.0310160429312558,
2024-01-13,0.019077793856463,
2024-01-14,-0.018614402736171,
2024-01-15,-0.0019024598988292,
2024-01-16,0.0326778382677836,
2024-01-17,-0.0313496983601835,
2024-01-18,-0.0281663490167934,
2024-01-19,0.0133181477508721,
2024-01-20,-0.0092512829809261,
2024-01-21,0.0033468019878515,
2024-01-22,-0.0614152350583283,
2024-01-23,-0.0545607931933054,
2024-01-24,0.0066552219565532,
2024-01-25,0.0009020590107201,
2024-01-26,0.0183372531811751,
2024-01-27,0.0058917807108862,
2024-01-28,-0.0042774682673441,
2024-01-29,0.0190844651535438,
2024-01-30,0.0314749718523305,
2024-01-31,-0.0440183558825222,
2024-02-01,0.0112852493739947,
2024-02-02,-0.0036227117730479,
2024-02-03,0.0019891149341554,
2024-02-04,-8.26196517833946e-05,
2024-02-05,-0.00541557709546,
2024-02-06,0.0400119357510752,
2024-02-07,0.020613200441266,
2024-02-08,-0.001659724076131,
2024-02-09,0.0317441900401254,
2024-02-10,0.0029305948945429,
2024-02-11,-0.002870700906883,
2024-02-12,0.0498296564131574,
2024-02-13,0.0003000545058223,
2024-02-14,0.054393960372012,
2024-02-15,0.0058452436383763,
2024-02-16,-0.0020652401067546,
2024-02-17,-0.0016244044286008,
2024-02-18,0.0216203529545965,
2024-02-19,0.0414153527873625,
2024-02-20,0.0069674993306654,
2024-02-21,-0.0205100549779497,
2024-02-22,0.0192879600214251,
2024-02-23,-0.0143850958803536,
2024-02-24,0.0144353483992717,
2024-02-25,0.0407817927071479,
2024-02-26,0.0244317518071533,
2024-02-27,0.0197493930298543,
2024-02-28,0.0225911503734165,
2024-02-29,0.007896059304081,
2024-03-01,0.0234228997296185,
2024-03-02,-0.0051888184355597,
2024-03-03,0.019432176504491,
2024-03-04,0.0303491091535642,
2024-03-05,-0.0175820667648293,
2024-03-06,0.088797724668171,
2024-03-07,0.0062518405745819,
2024-03-08,0.0107549998409559,
2024-03-09,-0.0010217506029583,
2024-03-10,-0.0014578007696833,
2024-03-11,0.0317890881928821,
2024-03-12,-0.0206285847281993,
2024-03-13,0.0104413755606291,
2024-03-14,-0.0385471716643302,
2024-03-15,-0.0567404659579355,
2024-03-16,-0.0034913201039303,
2024-03-17,0.004289987198614,
2024-03-18,-0.0347097192449139,
2024-03-19,-0.0678558987148886,
2024-03-20,0.0542454052866777,
2024-03-21,0.0064366316988604,
2024-03-22,-0.0487054828116952,
2024-03-23,0.0206892823111027,
2024-03-24,0.0077021750591957,
2024-03-25,0.0612611736051354,
2024-03-26,-0.0146978809115043,
2024-03-27,-0.0183631202823742,
2024-03-28,0.0144686852358644,
2024-03-29,-0.0185298044415573,
2024-03-30,0.003226269750645,
2024-03-31,0.0350112075754594,
2024-04-01,-0.0379372521549726,
2024-04-02,-0.0671434720144871,
2024-04-03,0.011037236920114,
2024-04-04,0.0056987942560153,
2024-04-05,0.0029421940554148,
2024-04-06,0.0080020730654846,
2024-04-07,0.011575691957889,
2024-04-08,0.081147878697655,
2024-04-09,-0.0490809159274276,
2024-04-10,0.00021349730007,
2024-04-11,0.0032537450292692,
2024-04-12,-0.0880861762779006,
2024-04-13,-0.1014590823328113,
2024-04-14,0.0508757046800845,
2024-04-15,0.0048280608452587,
2024-04-16,-0.0038345349685092,
2024-04-17,-0.032847887064307,
2024-04-18,0.0324733948632078,
2024-04-19,0.0030894333515899,
2024-04-20,0.0249479855699328,
2024-04-21,-0.0024415777737796,
2024-04-22,0.0131017259121116,
2024-04-23,0.0061071705969106,
2024-04-24,-0.0254029372510564,
2024-04-25,0.0136900432012335,
2024-04-26,-0.0096094458531862,
2024-04-27,0.0299306254580965,
2024-04-28,0.0227364385433231,
2024-04-29,-0.0424748446022586,
2024-04-30,-0.0693494705704347,
2024-05-01,-0.008593346044841,
2024-05-02,0.0165611138657798,
2024-05-03,0.0421451430836028,
2024-05-04,0.0042926770172011,
2024-05-05,0.0029843860674578,
2024-05-06,-0.0186256872200935,
2024-05-07,-0.0102807694017093,
2024-05-08,-0.0323727305622052,
2024-05-09,0.0235419237143738,
2024-05-10,-0.0438369548909163,
2024-05-11,0.0103684196090183,
2024-05-12,0.0001539922493609,
2024-05-13,0.0107886558474106,
2024-05-14,-0.0216257935942462,
2024-05-15,0.0447968581014372,
2024-05-16,-0.0285712632938049,
2024-05-17,0.0503441469102977,
2024-05-18,0.0103285217229649,
2024-05-19,-0.0146193367976242,
2024-05-20,0.1291988290300623,
2024-05-21,0.0675295733900453,
2024-05-22,0.0007766016464099,
2024-05-23,0.0012929973342138,
2024-05-24,-0.0050936775850058,
2024-05-25,0.0028264960529486,
2024-05-26,0.0300002114040246,
2024-05-27,0.0077826426470613,
2024-05-28,-0.0157908861760586,
2024-05-29,-0.0207510494362619,
2024-05-30,-0.0031252529644535,
2024-05-31,0.0138739087634752,
2024-06-01,0.0036818000748817,
2024-06-02,-0.0049015184764621,
2024-06-03,-0.0038643299415149,
2024-06-04,0.0095016352832155,
2024-06-05,0.0149137807042577,
2024-06-06,-0.0172596747579254,
2024-06-07,-0.0287755243415728,
2024-06-08,-0.0042282098015524,
2024-06-09,0.006785773257141,
2024-06-10,-0.0080683571174648,
2024-06-11,-0.0510994182347998,
2024-06-12,0.0196980346675029,
2024-06-13,-0.0226158832750306,
2024-06-14,-0.0188246590979248,
2024-06-15,0.0401688109307549,
2024-06-16,0.0130898144899774,
2024-06-17,-0.024130422611263,
2024-06-18,-0.0153031648827657,
2024-06-19,0.0262733866533434,
2024-06-20,-0.0078835714876904,
2024-06-21,-0.0008261518687107,
2024-06-22,-0.0075063035347057,
2024-06-23,-0.0176447486397785,
2024-06-24,-0.0369800006807593,
2024-06-25,0.0302146780733878,
2024-06-26,-0.0060440916050246,
2024-06-27,0.0145117899463646,
2024-06-28,-0.0162538477862409,
