Model,Variable,Coefficient,HAC_Std_Error,t_Statistic,p_Value,CI_95_Lower,CI_95_Upper,Significance
ETH Baseline,const,-0.006862429342118727,0.03231750154697693,-0.21234405550018945,0.8318386276834885,-0.07020356844451099,0.05647870976027354,
ETH Baseline,ETH_Lagged_Return,-0.06031860963293443,0.04725760081808558,-1.2763790075828474,0.20182157332201855,-0.15294180523215276,0.032304585966283904,
ETH Baseline,Lagged_Log_ETH_Volume,0.0003127099430185981,0.0013974574635742581,0.2237706342909244,0.822935781001179,-0.0024262563555136423,0.0030516762415508385,
ETH Baseline,Lagged_SP500_Return_Aligned,0.050831165400564225,0.17553364725967335,0.28958075100762776,0.7721369947882736,-0.29320846130335354,0.39487079210448195,
ETH Baseline,Lagged_VIX_Change_Aligned,-0.00045572812920863736,0.0009810362357254218,-0.4645375090265159,0.642262692451977,-0.002378523818759211,0.0014670675603419361,
ETH Baseline,Lagged_Gold_Return_Aligned,0.08312967895642882,0.11533307767360129,0.7207791609592714,0.4710453987786839,-0.14291899950999032,0.30917835742284794,
ETH Baseline,Lagged_DXY_Return_Aligned,0.27656472023541123,0.3173446787648142,0.8714963216395217,0.38348321342766545,-0.3454194208290575,0.89854886129988,
ETH Baseline,Lagged_US10Y_Change_Aligned,-0.012510779654281382,0.016960742521565684,-0.7376316006433004,0.46073834702588534,-0.045753224147607185,0.020731664839044418,
