Model,Variable,Coefficient,HAC_Std_Error,t_Statistic,p_Value,CI_95_Lower,CI_95_Upper,Significance
ETH + Lagged BTC Robustness,const,-0.00723236835839195,0.032263789256007716,-0.2241636374761913,0.8226299765897954,-0.07046823330495741,0.05600349658817352,
ETH + Lagged BTC Robustness,ETH_Lagged_Return,-0.06571270511246627,0.04760347398036647,-1.3804182682038868,0.16745789864736615,-0.15901379965297413,0.02758838942804158,
ETH + Lagged BTC Robustness,Lagged_Log_ETH_Volume,0.00032843597258289093,0.0013952014326818784,0.2354039817401607,0.8138951959208177,-0.002406108586652275,0.0030629805318180573,
ETH + Lagged BTC Robustness,Lagged_SP500_Return_Aligned,0.04927242864626496,0.1755291086625915,0.2807080205766796,0.7789343564776243,-0.29475830257083196,0.3933031598633619,
ETH + Lagged BTC Robustness,Lagged_VIX_Change_Aligned,-0.0004594775491590598,0.0009788158524761633,-0.46942185089942573,0.6387681326684196,-0.0023779213675092104,0.001458966269191091,
ETH + Lagged BTC Robustness,Lagged_Gold_Return_Aligned,0.08271385878388843,0.11499849333442597,0.7192603692932662,0.47198050928520985,-0.14267904642795592,0.3081067639957328,
ETH + Lagged BTC Robustness,Lagged_DXY_Return_Aligned,0.277297614246243,0.3169658488486651,0.8748501305534603,0.3816554565157839,-0.3439440338263071,0.8985392623187931,
ETH + Lagged BTC Robustness,Lagged_US10Y_Change_Aligned,-0.012643775671395331,0.01693072487324344,-0.746794704069463,0.45518749287120575,-0.045827386655108944,0.02053983531231828,
ETH + Lagged BTC Robustness,BTC_Lagged_Return,0.008905167393250944,0.046260860284212335,0.19249895783477364,0.8473513841731879,-0.08176445265764459,0.0995747874441465,
