Asset,Baseline_RMSE,Cross_Crypto_RMSE,RMSE_Change,RMSE_Improvement_Percent,Baseline_MAE,Cross_Crypto_MAE,MAE_Change,MAE_Improvement_Percent,Baseline_OOS_R2,Cross_Crypto_OOS_R2,OOS_R2_Change,Baseline_Directional_Accuracy,Cross_Crypto_Directional_Accuracy,Directional_Accuracy_Change
BTC,0.027704542466655685,0.027748511197477944,4.3968730822258745e-05,-0.15870585437452406,0.021918984922886,0.021954115694197373,3.513077131137368e-05,-0.16027553937816263,-0.010330419739258856,-0.013539871563180261,-0.0032094518239214054,0.4939759036144578,0.4779116465863454,-0.016064257028112428
ETH,0.0402401048813017,0.04026023888789349,2.0134006591794595e-05,-0.050034677223593,0.029972416583505395,0.029982701678725503,1.0285095220108342e-05,-0.034315201750427085,-0.013621191960824008,-0.014635769901074624,-0.001014577940250616,0.4959839357429719,0.4939759036144578,-0.002008032128514081
