Model,Variable,Coefficient,HAC_Std_Error,t_Statistic,p_Value,CI_95_Lower,CI_95_Upper,Significance
BTC Baseline,const,0.012881492213800066,0.031504315989331955,0.4088802378112897,0.6826275524331838,-0.04886583248285993,0.07462881691046006,
BTC Baseline,BTC_Lagged_Return,-0.11924172554615935,0.06875005008091796,-1.7344238354126769,0.08284290894650785,-0.2539893476400836,0.015505896547764894,*
BTC Baseline,Lagged_Log_BTC_Volume,-0.0005123507691376557,0.0013119998496199832,-0.39051130172465837,0.6961584998334263,-0.0030838232221147895,0.0020591216838394787,
BTC Baseline,Lagged_SP500_Return_Aligned,0.07148308249650734,0.14610663755115688,0.48925280668018034,0.624662728067811,-0.21488066500600758,0.3578468299990223,
BTC Baseline,Lagged_VIX_Change_Aligned,8.191353646343959e-05,0.0007261286844028654,0.1128085671629974,0.910182326089676,-0.0013412725331076278,0.0015050996060345068,
BTC Baseline,Lagged_Gold_Return_Aligned,0.07905408872834827,0.08591322454917141,0.9201620488950755,0.3574880832283992,-0.08933273718373014,0.24744091464042667,
BTC Baseline,Lagged_DXY_Return_Aligned,-0.021798844640199728,0.2099571602946332,-0.10382520229178836,0.9173080660148326,-0.43330731711398385,0.3897096278335844,
BTC Baseline,Lagged_US10Y_Change_Aligned,0.0012726808911085149,0.014824845831303907,0.08584783313032114,0.9315873814633332,-0.0277834830146059,0.03032884479682293,
