Asset,Model,N_Forecasts,Forecast_Start,Forecast_End,RMSE,MAE,OOS_R2,Directional_Accuracy
BTC,Baseline,498,2024-01-02,2025-12-31,0.027704542466655685,0.021918984922886,-0.010330419739258856,0.4939759036144578
BTC,Cross_Crypto,498,2024-01-02,2025-12-31,0.027748511197477944,0.021954115694197373,-0.013539871563180261,0.4779116465863454
ETH,Baseline,498,2024-01-02,2025-12-31,0.0402401048813017,0.029972416583505395,-0.013621191960824008,0.4959839357429719
ETH,Cross_Crypto,498,2024-01-02,2025-12-31,0.04026023888789349,0.029982701678725503,-0.014635769901074624,0.4939759036144578
