Asset,Period,Start_Date,End_Date,N,Variable,Coefficient,HAC_SE,T_Statistic,P_Value,CI_95_Lower,CI_95_Upper,Sign,Significance,Significant_5pct,R_Squared,Adjusted_R_Squared,HAC_Maxlags
BTC,2021,2021-01-06,2021-12-31,360,const,-0.027909942656453822,0.14133628427567532,-0.19747188628516438,0.8435722599367522,-0.30587972017390297,0.25005983486099537,Negative,,False,0.018195923947646464,-0.0013285889283944918,7
BTC,2021,2021-01-06,2021-12-31,360,BTC_Lagged_Return,-0.11368153177632923,0.09377599261266675,-1.2122668991186316,0.22622326845706037,-0.298113236179833,0.07075017262717456,Negative,,False,0.018195923947646464,-0.0013285889283944918,7
BTC,2021,2021-01-06,2021-12-31,360,Lagged_Log_BTC_Volume,0.0011436279495394342,0.005801091633806095,0.19714012839840286,0.8438316634496059,-0.010265531128551173,0.012552787027630042,Positive,,False,0.018195923947646464,-0.0013285889283944918,7
BTC,2021,2021-01-06,2021-12-31,360,Lagged_SP500_Return_Aligned,0.7016154167305149,0.5384460854598877,1.3030374547737011,0.19341370400074034,-0.3573606229147106,1.7605914563757403,Positive,,False,0.018195923947646464,-0.0013285889283944918,7
BTC,2021,2021-01-06,2021-12-31,360,Lagged_VIX_Change_Aligned,0.0015628765723296955,0.002181069437011644,0.7165643357375383,0.47411810518150094,-0.002726689898610684,0.005852443043270075,Positive,,False,0.018195923947646464,-0.0013285889283944918,7
BTC,2021,2021-01-06,2021-12-31,360,Lagged_Gold_Return_Aligned,0.1739099489078736,0.3330798029427918,0.5221269718889066,0.6019103393203408,-0.4811668361799185,0.8289867339956657,Positive,,False,0.018195923947646464,-0.0013285889283944918,7
BTC,2021,2021-01-06,2021-12-31,360,Lagged_DXY_Return_Aligned,0.6288314170730362,0.7174410394372936,0.8764921192217328,0.3813603170882985,-0.7821786935740733,2.039841527720146,Positive,,False,0.018195923947646464,-0.0013285889283944918,7
BTC,2021,2021-01-06,2021-12-31,360,Lagged_US10Y_Change_Aligned,0.029080315382192218,0.05229022075164892,0.5561329626108951,0.5784732988445008,-0.0737602333358111,0.13192086410019555,Positive,,False,0.018195923947646464,-0.0013285889283944918,7
BTC,2022,2022-01-01,2022-12-31,365,const,0.23260693563234314,0.1251563606125987,1.8585306770971102,0.06391652311732293,-0.013529468573243997,0.47874333983793027,Positive,*,False,0.016670405320062143,-0.00261056712464236,7
BTC,2022,2022-01-01,2022-12-31,365,BTC_Lagged_Return,-0.05746472993834554,0.08010647836147852,-0.7173543402948929,0.47362458404390956,-0.21500462995587769,0.10007517007918662,Negative,,False,0.016670405320062143,-0.00261056712464236,7
BTC,2022,2022-01-01,2022-12-31,365,Lagged_Log_BTC_Volume,-0.009788399438344867,0.005227040444872704,-1.8726465849229232,0.06193434212920929,-0.02006806028371328,0.0004912614070235449,Negative,*,False,0.016670405320062143,-0.00261056712464236,7
BTC,2022,2022-01-01,2022-12-31,365,Lagged_SP500_Return_Aligned,0.027558641192980626,0.23410113754116282,0.11772109047584142,0.906354858552407,-0.4328319608729849,0.4879492432589462,Positive,,False,0.016670405320062143,-0.00261056712464236,7
BTC,2022,2022-01-01,2022-12-31,365,Lagged_VIX_Change_Aligned,2.6721927055840247e-05,0.0018984271085984966,0.01407582463124832,0.9887773504745195,-0.00370678406392778,0.003760227918039461,Positive,,False,0.016670405320062143,-0.00261056712464236,7
BTC,2022,2022-01-01,2022-12-31,365,Lagged_Gold_Return_Aligned,-0.2541436350402416,0.25524822091623045,-0.9956725031343066,0.3200836726618772,-0.756122751152939,0.2478354810724558,Negative,,False,0.016670405320062143,-0.00261056712464236,7
BTC,2022,2022-01-01,2022-12-31,365,Lagged_DXY_Return_Aligned,0.012401890469179389,0.38823739589618916,0.031944090394876674,0.9745344888628069,-0.7511178870019596,0.7759216679403184,Positive,,False,0.016670405320062143,-0.00261056712464236,7
