Asset,Variable,Rolling_Estimates,Mean_Coefficient,Median_Coefficient,Minimum_Coefficient,Maximum_Coefficient,Std_Coefficient,Positive_Windows,Negative_Windows,Sign_Changes_Across_Windows,Significant_5pct_Windows,Significant_10pct_Windows,Share_Significant_5pct,Share_Significant_10pct
BTC,BTC_Lagged_Return,209,-0.11257134163807099,-0.061224977641090486,-0.34079490765394727,0.06874660295459811,0.11110409063148337,10,199,True,29,54,0.13875598086124402,0.2583732057416268
BTC,Lagged_Log_BTC_Volume,209,-0.0008117305110340794,0.000412912035447914,-0.015277581682783752,0.00879441322138752,0.005396278093892934,110,99,True,20,45,0.09569377990430622,0.215311004784689
BTC,Lagged_SP500_Return_Aligned,209,0.03160980937245485,-0.0082005645690022,-0.44364815993507056,1.0645081925671858,0.2825167628444939,102,107,True,1,5,0.004784688995215311,0.023923444976076555
BTC,Lagged_VIX_Change_Aligned,209,0.00032627607747260246,0.0005323192250564508,-0.0028340727050353825,0.002430023163464782,0.0011489944922350344,137,72,True,3,5,0.014354066985645933,0.023923444976076555
BTC,Lagged_Gold_Return_Aligned,209,0.08819214955493082,0.08913597447511587,-0.35691537912625193,0.42707069491394556,0.17269147531707474,151,58,True,8,31,0.03827751196172249,0.14832535885167464
BTC,Lagged_DXY_Return_Aligned,209,-0.07468491816168821,0.001530610342394212,-0.7799991396622623,0.6733661752622985,0.32583916932453955,105,104,True,12,23,0.05741626794258373,0.11004784688995216
BTC,Lagged_US10Y_Change_Aligned,209,0.00844416403412793,-0.003119756034097275,-0.04516719810628127,0.07858109898723105,0.03143236258655591,97,112,True,13,27,0.06220095693779904,0.1291866028708134
ETH,ETH_Lagged_Return,209,-0.03106140708825349,-0.03327851429220918,-0.14937406335297448,0.0811900321065547,0.04925595071294023,58,151,True,1,6,0.004784688995215311,0.028708133971291867
ETH,Lagged_Log_ETH_Volume,209,0.00017109402946613808,0.0013169643388550286,-0.009902369745566847,0.006761967653701608,0.0038914181760153067,135,74,True,5,20,0.023923444976076555,0.09569377990430622
ETH,Lagged_SP500_Return_Aligned,209,0.0245726979603501,0.0221631811028803,-0.6705147285588199,1.3812818278008416,0.39208733937340506,107,102,True,15,33,0.07177033492822966,0.15789473684210525
ETH,Lagged_VIX_Change_Aligned,209,-0.0001566928588264512,-0.00018026191212983187,-0.003196476718080565,0.002280011852315952,0.0011826748828488603,96,113,True,0,0,0.0,0.0
ETH,Lagged_Gold_Return_Aligned,209,0.09773279853699966,0.12690551220402513,-0.5021363921242943,0.5743913882439166,0.22483692229027316,153,56,True,5,26,0.023923444976076555,0.12440191387559808
ETH,Lagged_DXY_Return_Aligned,209,0.16073788322967297,0.17926143597069838,-0.8759896070148883,2.1248902136272116,0.5310445923265074,127,82,True,14,25,0.06698564593301436,0.11961722488038277
ETH,Lagged_US10Y_Change_Aligned,209,0.0004028343221807597,-0.013368813342204813,-0.05808824328582323,0.08892621602978149,0.04047519892321114,75,134,True,14,27,0.06698564593301436,0.1291866028708134
