Hypothesis,Asset,Sentiment coefficient,HAC SE,t-statistic,p-value,95% CI lower,95% CI upper,N,R-squared,Decision
H1,BTC,0.0046,0.0109,0.422,0.673,-0.0168,0.026,1821,0.0138,Not supported
H2,ETH,0.0025,0.0039,0.629,0.529,-0.0052,0.0102,1799,0.0043,Not supported
