Hypothesis,Asset,N,Benchmark RMSE,Sentiment RMSE,RMSE change (%),Benchmark MAE,Sentiment MAE,OOS R-squared,Benchmark directional accuracy,Sentiment directional accuracy,Clark-West z,Clark-West one-sided p,DM z,DM two-sided p,Decision
H3,BTC,731,0.024826,0.024848,0.0884,0.018278,0.018296,-0.001769,0.5103,0.4952,-1.374,0.915,-1.626,0.104,Not supported
H4,ETH,719,0.036947,0.037,0.1446,0.026433,0.026514,-0.002895,0.4924,0.5174,-0.52,0.699,-1.078,0.281,Not supported
