Asset,Model,Variable,Coefficient,HAC_Std_Error,z_statistic,p_value,CI_95_Lower,CI_95_Upper
BTC,Baseline,const,0.012881492213800066,0.03157374707297121,0.40798110480929584,0.6832875471172619,-0.049001914906200456,0.0747648993338006
BTC,Baseline,BTC_Lagged_Return,-0.11924172554615935,0.06890156552657904,-1.7306098146661326,0.08352137999721766,-0.2542863124566808,0.01580286136436214
BTC,Baseline,Lagged_Log_BTC_Volume,-0.0005123507691376557,0.0013148913128507513,-0.3896525622538741,0.696793479036212,-0.003089490385909717,0.002064788847634406
BTC,Baseline,Lagged_SP500_Return_Aligned,0.07148308249650734,0.1464286360409987,0.4881769333458294,0.6254245215615354,-0.21551177044917383,0.35847793544218853
BTC,Baseline,Lagged_VIX_Change_Aligned,8.191353646343959e-05,0.0007277289699458593,0.11256049964526449,0.9103790026789362,-0.001344409035136876,0.001508236108063755
BTC,Baseline,Lagged_Gold_Return_Aligned,0.07905408872834827,0.0861025652186026,0.9181386004893208,0.3585463084108833,-0.08970383807662397,0.2478120155333205
BTC,Baseline,Lagged_DXY_Return_Aligned,-0.021798844640199728,0.2104198763606482,-0.10359688931114898,0.9174892563518433,-0.4342142239384413,0.39061653465804186
BTC,Baseline,Lagged_US10Y_Change_Aligned,0.0012726808911085149,0.014857517707474807,0.08565905262009077,0.9317374537123233,-0.027847518715208217,0.030392880497425247
BTC,Cross_Crypto,const,0.01149398474889589,0.031870049534361906,0.36065161230776294,0.718359901243389,-0.05097016452396097,0.07395813402175275
BTC,Cross_Crypto,BTC_Lagged_Return,-0.15419754574829714,0.12117226873613964,-1.272548144526964,0.20317842957400067,-0.39169082839613956,0.08329573689954531
BTC,Cross_Crypto,ETH_Lagged_Return,0.038411196506184034,0.0766870729605416,0.5008822872395723,0.6164539690510412,-0.11189270457627291,0.18871509758864097
BTC,Cross_Crypto,Lagged_Log_BTC_Volume,-0.0004547961007624407,0.0013271369406285703,-0.3426896553320535,0.7318319458633176,-0.0030559367069471106,0.002146344505422229
BTC,Cross_Crypto,Lagged_SP500_Return_Aligned,0.060125290960016904,0.143206882184008,0.4198491723516562,0.6745956406059619,-0.2205550404589095,0.3408056223789433
BTC,Cross_Crypto,Lagged_VIX_Change_Aligned,0.0001303537401456791,0.0007232440821427652,0.18023478292346104,0.8569682527162759,-0.0012871786128858692,0.0015478860931772273
BTC,Cross_Crypto,Lagged_Gold_Return_Aligned,0.08126366647954592,0.08654421087398712,0.9389844295636371,0.3477387386445696,-0.08835986990390854,0.25088720286300037
BTC,Cross_Crypto,Lagged_DXY_Return_Aligned,-0.017299434045111233,0.2105298168941693,-0.08217094519113861,0.934510777670261,-0.4299302928294953,0.3953314247392728
BTC,Cross_Crypto,Lagged_US10Y_Change_Aligned,0.001917115206906921,0.01504211181811063,0.12744987074213365,0.8985843468839879,-0.027564882208014223,0.03139911262182807
ETH,Baseline,const,-0.006862429342118727,0.03238872477726956,-0.21187710813902702,0.8322029102046202,-0.07034316341074714,0.056618304726509694
ETH,Baseline,ETH_Lagged_Return,-0.06031860963293443,0.04736174992692838,-1.2735722334161304,0.2028150579167134,-0.1531459337345066,0.03250871446863774
ETH,Baseline,Lagged_Log_ETH_Volume,0.0003127099430185981,0.0014005372633727551,0.22327855973323707,0.8233187129369752,-0.00243229265219829,0.0030577125382354863
ETH,Baseline,Lagged_SP500_Return_Aligned,0.050831165400564225,0.17592049874213428,0.2889439591407308,0.772624263207193,-0.2939666762763429,0.3956290070774713
ETH,Baseline,Lagged_VIX_Change_Aligned,-0.00045572812920863736,0.0009831983016772381,-0.46351598495563984,0.6429945597279181,-0.002382761390156971,0.0014713051317396964
ETH,Baseline,Lagged_Gold_Return_Aligned,0.08312967895642882,0.11558725556354629,0.7191941581373277,0.472021298336158,-0.14341717901994888,0.30967653693280656
ETH,Baseline,Lagged_DXY_Return_Aligned,0.27656472023541123,0.3180440618252575,0.8695798898058464,0.38453003170384303,-0.3467901864389238,0.8999196269097463
ETH,Baseline,Lagged_US10Y_Change_Aligned,-0.012510779654281382,0.016998121613782682,-0.7360095390856126,0.46172489258485694,-0.0458264858221273,0.020804926513564536
ETH,Cross_Crypto,const,-0.007232368358392224,0.03234381531339864,-0.2236090049461842,0.8230615561521826,-0.07062508149526864,0.056160344778484195
ETH,Cross_Crypto,ETH_Lagged_Return,-0.06571270511246642,0.04772154809472666,-1.3770027950901247,0.16851138367644514,-0.1592452206646267,0.027819810439693865
ETH,Cross_Crypto,BTC_Lagged_Return,0.00890516739325103,0.046375604223065456,0.1920226710237004,0.8477244469637989,-0.0819893466452409,0.09979968143174296
ETH,Cross_Crypto,Lagged_Log_ETH_Volume,0.00032843597258290735,0.0013986620451058587,0.23482153800638056,0.8143472501801868,-0.0024128912623677125,0.003069763207533527
ETH,Cross_Crypto,Lagged_SP500_Return_Aligned,0.04927242864626494,0.17596448537603082,0.28001348420376554,0.7794671596571172,-0.2956116252488805,0.39415648254141034
ETH,Cross_Crypto,Lagged_VIX_Change_Aligned,-0.0004594775491590751,0.0009812436755999691,-0.4682603929937519,0.6395983885255527,-0.0023826798133927186,0.0014637247150745686
ETH,Cross_Crypto,Lagged_Gold_Return_Aligned,0.08271385878388839,0.11528373187098506,0.7174807532814267,0.473077508065221,-0.14323810368661472,0.3086658212543915
ETH,Cross_Crypto,Lagged_DXY_Return_Aligned,0.27729761424624266,0.31775204066947355,0.8726855495939626,0.38283449619095156,-0.34548494148003206,0.9000801699725174
ETH,Cross_Crypto,Lagged_US10Y_Change_Aligned,-0.012643775671395355,0.01697271929461107,-0.7449469617640954,0.45630378372634794,-0.045909694208541116,0.02062214286575041
