Asset,Model,N,R_squared,Adjusted_R_squared,AIC,BIC
BTC,Baseline,1821,0.013687447403473274,0.009879290829741483,-7244.219803942029,-7200.162675304208
BTC,Cross_Crypto,1821,0.014588037502276663,0.010237432811337488,-7243.883296657579,-7194.319026940031
ETH,Baseline,1821,0.004283252423555872,0.000438786216697018,-6424.708495650872,-6380.651367013051
ETH,Cross_Crypto,1821,0.004303962823228313,-9.204617092972711e-05,-6422.746371914491,-6373.182102196943
