Asset,Baseline_R2,Cross_Crypto_R2,Change_in_R2,Baseline_Adjusted_R2,Cross_Crypto_Adjusted_R2,Change_in_Adjusted_R2
BTC,0.013687447403473274,0.014588037502276663,0.0009005900988033888,0.009879290829741483,0.010237432811337488,0.0003581419815960052
ETH,0.004283252423555872,0.004303962823228313,2.071039967244115e-05,0.000438786216697018,-9.204617092972711e-05,-0.0005308323876267451
