Asset,Lag_Days,Specification,Coefficient,HAC_Std_Error,p_value
BTC,1,Primary,-0.11924172554615935,0.06890156552657904,0.08352137999721766
ETH,1,Primary,-0.06031860963293443,0.04736174992692838,0.2028150579167134
BTC,2,Robustness,0.02397596892627584,0.03687777509868205,0.515597375972531
ETH,2,Robustness,0.01667853286685995,0.05145656068747813,0.7458408238272682
BTC,3,Robustness,-0.00973133880094932,0.031818644673511184,0.7597282775833119
ETH,3,Robustness,-0.00906807772042661,0.04708456847979342,0.8472790678339355
BTC,7,Robustness,-0.01411919820060304,0.02461742330301078,0.5662757901263181
ETH,7,Robustness,-0.0014636921516555674,0.028399058238243055,0.9588950972047662
