Asset,Lag_Days,Specification,Model,Variable,Coefficient,HAC_Std_Error,z_statistic,p_value,CI_95_Lower,CI_95_Upper
BTC,1,Primary,Baseline,const,0.012881492213800066,0.03157374707297121,0.40798110480929584,0.6832875471172619,-0.049001914906200456,0.0747648993338006
BTC,1,Primary,Baseline,BTC_Return_Lag_1,-0.11924172554615935,0.06890156552657904,-1.7306098146661326,0.08352137999721766,-0.2542863124566808,0.01580286136436214
BTC,1,Primary,Baseline,Log_BTC_Volume_Lag_1,-0.0005123507691376557,0.0013148913128507513,-0.3896525622538741,0.696793479036212,-0.003089490385909717,0.002064788847634406
BTC,1,Primary,Baseline,SP500_Aligned_Lag_1,0.07148308249650734,0.1464286360409987,0.4881769333458294,0.6254245215615354,-0.21551177044917383,0.35847793544218853
BTC,1,Primary,Baseline,VIX_Aligned_Lag_1,8.191353646343959e-05,0.0007277289699458593,0.11256049964526449,0.9103790026789362,-0.001344409035136876,0.001508236108063755
BTC,1,Primary,Baseline,Gold_Aligned_Lag_1,0.07905408872834827,0.0861025652186026,0.9181386004893208,0.3585463084108833,-0.08970383807662397,0.2478120155333205
BTC,1,Primary,Baseline,DXY_Aligned_Lag_1,-0.021798844640199728,0.2104198763606482,-0.10359688931114898,0.9174892563518433,-0.4342142239384413,0.39061653465804186
BTC,1,Primary,Baseline,US10Y_Aligned_Lag_1,0.0012726808911085149,0.014857517707474807,0.08565905262009077,0.9317374537123233,-0.027847518715208217,0.030392880497425247
BTC,1,Primary,Cross_Crypto,const,0.01149398474889589,0.031870049534361906,0.36065161230776294,0.718359901243389,-0.05097016452396097,0.07395813402175275
BTC,1,Primary,Cross_Crypto,BTC_Return_Lag_1,-0.15419754574829714,0.12117226873613964,-1.272548144526964,0.20317842957400067,-0.39169082839613956,0.08329573689954531
BTC,1,Primary,Cross_Crypto,ETH_Return_Lag_1,0.038411196506184034,0.0766870729605416,0.5008822872395723,0.6164539690510412,-0.11189270457627291,0.18871509758864097
BTC,1,Primary,Cross_Crypto,Log_BTC_Volume_Lag_1,-0.0004547961007624407,0.0013271369406285703,-0.3426896553320535,0.7318319458633176,-0.0030559367069471106,0.002146344505422229
BTC,1,Primary,Cross_Crypto,SP500_Aligned_Lag_1,0.060125290960016904,0.143206882184008,0.4198491723516562,0.6745956406059619,-0.2205550404589095,0.3408056223789433
BTC,1,Primary,Cross_Crypto,VIX_Aligned_Lag_1,0.0001303537401456791,0.0007232440821427652,0.18023478292346104,0.8569682527162759,-0.0012871786128858692,0.0015478860931772273
BTC,1,Primary,Cross_Crypto,Gold_Aligned_Lag_1,0.08126366647954592,0.08654421087398712,0.9389844295636371,0.3477387386445696,-0.08835986990390854,0.25088720286300037
BTC,1,Primary,Cross_Crypto,DXY_Aligned_Lag_1,-0.017299434045111233,0.2105298168941693,-0.08217094519113861,0.934510777670261,-0.4299302928294953,0.3953314247392728
BTC,1,Primary,Cross_Crypto,US10Y_Aligned_Lag_1,0.001917115206906921,0.01504211181811063,0.12744987074213365,0.8985843468839879,-0.027564882208014223,0.03139911262182807
ETH,1,Primary,Baseline,const,-0.006862429342118727,0.03238872477726956,-0.21187710813902702,0.8322029102046202,-0.07034316341074714,0.056618304726509694
ETH,1,Primary,Baseline,ETH_Return_Lag_1,-0.06031860963293443,0.04736174992692838,-1.2735722334161304,0.2028150579167134,-0.1531459337345066,0.03250871446863774
ETH,1,Primary,Baseline,Log_ETH_Volume_Lag_1,0.0003127099430185981,0.0014005372633727551,0.22327855973323707,0.8233187129369752,-0.00243229265219829,0.0030577125382354863
ETH,1,Primary,Baseline,SP500_Aligned_Lag_1,0.050831165400564225,0.17592049874213428,0.2889439591407308,0.772624263207193,-0.2939666762763429,0.3956290070774713
ETH,1,Primary,Baseline,VIX_Aligned_Lag_1,-0.00045572812920863736,0.0009831983016772381,-0.46351598495563984,0.6429945597279181,-0.002382761390156971,0.0014713051317396964
ETH,1,Primary,Baseline,Gold_Aligned_Lag_1,0.08312967895642882,0.11558725556354629,0.7191941581373277,0.472021298336158,-0.14341717901994888,0.30967653693280656
