Asset,N,Start_Date,End_Date,Weekend_Observations,Lag_Horizons,HAC_Maxlags
BTC,1815,2021-01-12,2025-12-31,518,"1, 2, 3, 7 calendar days",7
ETH,1815,2021-01-12,2025-12-31,518,"1, 2, 3, 7 calendar days",7
