Asset,Lag_Days,Information_Horizon,Specification,Variable,Coefficient,HAC_Std_Error,z_statistic,p_value,CI_95_Lower,CI_95_Upper,N,Significance
BTC,1,t-1,Primary,BTC_Return_Lag_1,-0.13066429817974687,0.06741704703638308,-1.9381492355966143,0.05260501805212557,-0.2627992823151005,0.0014706859556067597,1815,Significant at 10%
ETH,1,t-1,Primary,ETH_Return_Lag_1,-0.06223959119825388,0.047567009592929796,-1.3084612997724576,0.1907168926742029,-0.15546921685266754,0.030990034456159776,1815,Not statistically significant at conventional levels
BTC,2,t-2,Robustness,BTC_Return_Lag_2,0.020068709539599317,0.037073745776321526,0.5413186372016641,0.5882879766972671,-0.052594496953984826,0.09273191603318345,1815,Not statistically significant at conventional levels
ETH,2,t-2,Robustness,ETH_Return_Lag_2,0.02236829946853371,0.05096100538217536,0.4389297130381473,0.6607124662134352,-0.07751343569648185,0.12225003463354926,1815,Not statistically significant at conventional levels
BTC,3,t-3,Robustness,BTC_Return_Lag_3,-0.0078070278910390796,0.03177184055565767,-0.24572161242477555,0.8058977407479058,-0.07007869110267717,0.05446463532059901,1815,Not statistically significant at conventional levels
ETH,3,t-3,Robustness,ETH_Return_Lag_3,-0.015400885308884983,0.04673294581061765,-0.32955092048543466,0.7417393123407173,-0.10699577598915758,0.0761940053713876,1815,Not statistically significant at conventional levels
BTC,7,t-7,Robustness,BTC_Return_Lag_7,-0.01411919820060304,0.02461742330301078,-0.5735449249424989,0.5662757901263181,-0.062368461266681226,0.034130064865475145,1815,Not statistically significant at conventional levels
ETH,7,t-7,Robustness,ETH_Return_Lag_7,-0.0014636921516555674,0.028399058238243055,-0.05154016514831165,0.9588950972047662,-0.05712482349346747,0.05419743919015634,1815,Not statistically significant at conventional levels
