Asset,Lag_Days,Information_Horizon,Specification,Cross_Crypto_Variable,Coefficient,HAC_Std_Error,z_statistic,p_value,CI_95_Lower,CI_95_Upper,Baseline_R2,Cross_Crypto_R2,Change_in_R2,Baseline_Adjusted_R2,Cross_Crypto_Adjusted_R2,Change_in_Adjusted_R2,N,Significance
BTC,1,t-1,Primary,ETH_Return_Lag_1,0.046992883966372745,0.07389214569786472,0.6359658868010205,0.5247986567689469,-0.0978330603418284,0.1918188282745739,0.016117393248019085,0.017474213978933006,0.0013568207309139213,0.012306005175377166,0.013121940286702216,0.0008159351113250501,1815,Not statistically significant at conventional levels
ETH,1,t-1,Primary,BTC_Return_Lag_1,-0.012481410240948752,0.04268747446249055,-0.29239045874958375,0.769988102474108,-0.09614732277840354,0.07118450229650602,0.004552208867880547,0.00459326193386167,4.105306598112257e-05,0.0006960193062176545,0.0001839297608111634,-0.0005120895454064911,1815,Not statistically significant at conventional levels
BTC,2,t-2,Robustness,ETH_Return_Lag_2,-0.03857635265849993,0.04135100115190016,-0.9329000890883454,0.35087155638115175,-0.11962282564089853,0.04247012032389867,0.005041927710146665,0.0059586815950227745,0.0009167538848761092,0.0011876352330968398,0.0015553977925643059,0.00036776255946746605,1815,Not statistically significant at conventional levels
ETH,2,t-2,Robustness,BTC_Return_Lag_2,0.04966309498456914,0.04695124835242243,1.0577587759071114,0.2901654314290627,-0.04235966081537437,0.14168585078451265,0.003852515602647988,0.004505223662273239,0.000652708059625251,-6.384447590823683e-06,9.550150795323287e-05,0.00010188595554405655,1815,Not statistically significant at conventional levels
BTC,3,t-3,Robustness,ETH_Return_Lag_3,-0.039721720246170024,0.03373371816562187,-1.17750791807618,0.2389928390220427,-0.10583859291541348,0.02639515242307342,0.00439040017907133,0.005365273988687025,0.000974873809615695,0.0005335837990233516,0.0009593615811063216,0.00042577778208297,1815,Not statistically significant at conventional levels
ETH,3,t-3,Robustness,BTC_Return_Lag_3,0.020783259313947335,0.04030345862395432,0.5156693748758036,0.6060853476424115,-0.05821006804140337,0.09977658666929805,0.003177537399850272,0.0032919467651861822,0.00011440936533591017,-0.0006839773971620833,-0.0011231498161419218,-0.0004391724189798385,1815,Not statistically significant at conventional levels
BTC,7,t-7,Robustness,ETH_Return_Lag_7,-0.02072103620446442,0.030242097158643896,-0.6851719342003987,0.49323543193818564,-0.07999445745236755,0.03855238504343872,0.0023983808550311903,0.002664995407730908,0.0002666145526997177,-0.001466152257318054,-0.0017528783667641878,-0.00028672610944613375,1815,Not statistically significant at conventional levels
ETH,7,t-7,Robustness,BTC_Return_Lag_7,0.026748162260889607,0.047795111614563256,0.5596422177354932,0.5757235024113114,-0.06692853514072641,0.12042485966250563,0.0012607507187769595,0.0014520736398665468,0.00019132292108958726,-0.0026081893725171668,-0.0029711729885284477,-0.00036298361601128093,1815,Not statistically significant at conventional levels
