Asset,Lag_Days,Specification,Cross_Crypto_Variable,Coefficient,HAC_Std_Error,z_statistic,p_value,Baseline_R2,Cross_Crypto_R2,Change_in_R2,Baseline_Adjusted_R2,Cross_Crypto_Adjusted_R2,Change_in_Adjusted_R2
BTC,1,Primary,ETH_Return_Lag_1,0.038411196506184034,0.0766870729605416,0.5008822872395723,0.6164539690510412,0.013687447403473274,0.014588037502276663,0.0009005900988033888,0.009879290829741483,0.010237432811337488,0.0003581419815960052
ETH,1,Primary,BTC_Return_Lag_1,0.00890516739325103,0.046375604223065456,0.1920226710237004,0.8477244469637989,0.004283252423555872,0.004303962823228313,2.071039967244115e-05,0.000438786216697018,-9.204617092972711e-05,-0.0005308323876267451
BTC,2,Robustness,ETH_Return_Lag_2,-0.04273758375042508,0.04184821195676725,-1.021252324820392,0.3071349076168003,0.004682758212452787,0.005799727222701612,0.001116969010248825,0.0008377136801609453,0.0014078982982297372,0.000570184618068792
ETH,2,Robustness,BTC_Return_Lag_2,0.06561858909741723,0.04978882249868777,1.317938159697323,0.18752435016799895,0.003527230504089429,0.004654433852275819,0.0011272033481863897,-0.0003222779873406356,0.00025754565283797604,0.0005798236401786117
BTC,3,Robustness,ETH_Return_Lag_3,-0.030899933569486095,0.03516247335869625,-0.8787758828644526,0.37952280514854986,0.004406093315705295,0.004992928015311149,0.0005868346996058538,0.0005578562385157859,0.0005951067026715995,3.725046415581357e-05
ETH,3,Robustness,BTC_Return_Lag_3,0.008000082445370302,0.042324323242647996,0.18901855558340125,0.8500782736830912,0.0029350225261648433,0.002951795443226657,1.6772917061813608e-05,-0.0009189006335905692,-0.0014550474498420396,-0.0005361468162514704
BTC,7,Robustness,ETH_Return_Lag_7,-0.02072103620446442,0.030242097158643896,-0.6851719342003987,0.49323543193818564,0.0023983808550311903,0.002664995407730908,0.0002666145526997177,-0.001466152257318054,-0.0017528783667641878,-0.00028672610944613375
ETH,7,Robustness,BTC_Return_Lag_7,0.026748162260889607,0.047795111614563256,0.5596422177354932,0.5757235024113114,0.0012607507187769595,0.0014520736398665468,0.00019132292108958726,-0.0026081893725171668,-0.0029711729885284477,-0.00036298361601128093
